Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Fascicle Length R1_F3	Pennation Angle R1_F3	
0.056935	45.202	0.358	45.751	0.36514	42.755	0.3645
0.11387	45.147	0.35812	45.696	0.36527	42.703	0.36463
0.1708	45.076	0.35792	45.624	0.36508	42.636	0.36444
0.22774	45.072	0.35814	45.62	0.3653	42.632	0.36466
0.28467	45.058	0.35748	45.607	0.36463	42.619	0.36399
0.34161	45.029	0.3573	45.577	0.36447	42.592	0.36382
0.39854	45.033	0.35735	45.581	0.36451	42.596	0.36386
0.45548	45.038	0.35719	45.587	0.36434	42.601	0.3637
0.51241	45.031	0.357	45.58	0.36416	42.594	0.36351
0.56935	45.006	0.35752	45.555	0.36467	42.571	0.36403
0.62628	44.963	0.35737	45.513	0.36452	42.531	0.36387
0.68322	44.96	0.35672	45.51	0.36386	42.529	0.36322
0.74015	44.931	0.35643	45.481	0.36357	42.501	0.36293
0.79708	44.929	0.35637	45.48	0.36352	42.5	0.36287
0.85402	44.939	0.35612	45.49	0.36326	42.51	0.36262
0.91095	44.892	0.35675	45.443	0.3639	42.466	0.36326
0.96789	44.907	0.35749	45.459	0.36465	42.481	0.364
1.0248	44.9	0.35721	45.451	0.36436	42.474	0.36372
1.0818	44.88	0.35749	45.431	0.36464	42.455	0.364
1.1387	44.888	0.35686	45.44	0.364	42.463	0.36335
1.1956	44.869	0.35714	45.421	0.36428	42.446	0.36364
1.2526	44.881	0.35708	45.434	0.36422	42.457	0.36357
1.3095	44.845	0.35734	45.398	0.36449	42.424	0.36384
1.3664	44.862	0.35704	45.415	0.36418	42.439	0.36353
1.4234	44.847	0.35722	45.4	0.36436	42.426	0.36372
1.4803	44.826	0.35782	45.379	0.36496	42.406	0.36432
1.5372	44.802	0.35791	45.356	0.36505	42.384	0.36441
1.5942	44.75	0.35843	45.304	0.36558	42.335	0.36493
1.6511	44.711	0.35934	45.265	0.36649	42.3	0.36585
1.708	44.631	0.36048	45.185	0.36766	42.225	0.36701
1.765	44.636	0.36075	45.19	0.36792	42.229	0.36728
1.8219	44.624	0.36104	45.178	0.36822	42.218	0.36757
1.8788	44.613	0.36108	45.167	0.36825	42.208	0.36761
1.9358	44.624	0.3609	45.179	0.36807	42.219	0.36743
1.9927	44.648	0.36108	45.203	0.36825	42.241	0.36761
2.0496	44.613	0.36116	45.168	0.36833	42.209	0.36768
2.1066	44.609	0.36168	45.164	0.36885	42.205	0.36821
2.1635	44.577	0.36169	45.133	0.36887	42.176	0.36822
2.2205	44.578	0.36152	45.134	0.36869	42.177	0.36805
2.2774	44.553	0.36169	45.109	0.36886	42.153	0.36822
2.3343	44.531	0.36221	45.087	0.36938	42.133	0.36874
2.3913	44.493	0.36249	45.049	0.36967	42.097	0.36902
2.4482	44.538	0.36259	45.094	0.36975	42.14	0.36911
2.5051	44.536	0.36259	45.092	0.36975	42.138	0.3691
2.5621	44.522	0.36283	45.079	0.36999	42.125	0.36935
2.619	44.511	0.36242	45.068	0.36958	42.115	0.36894
2.6759	44.57	0.36248	45.128	0.36963	42.171	0.36899
2.7329	44.539	0.36291	45.097	0.37007	42.142	0.36943
2.7898	44.524	0.36288	45.082	0.37004	42.128	0.3694
2.8467	44.526	0.36339	45.085	0.37055	42.13	0.3699
2.9037	44.532	0.36349	45.091	0.37066	42.136	0.37001
2.9606	44.554	0.36334	45.113	0.3705	42.157	0.36985
3.0175	44.521	0.36413	45.081	0.3713	42.127	0.37065
3.0745	44.552	0.36386	45.112	0.37101	42.155	0.37037
3.1314	44.528	0.36427	45.088	0.37143	42.133	0.37079
3.1883	44.509	0.3647	45.07	0.37186	42.116	0.37122
3.2453	44.495	0.3651	45.056	0.37226	42.103	0.37162
3.3022	44.52	0.36477	45.081	0.37194	42.127	0.37129
3.3591	44.486	0.36571	45.047	0.37288	42.095	0.37223
3.4161	44.5	0.36538	45.062	0.37255	42.109	0.3719
3.473	44.524	0.36541	45.087	0.37257	42.132	0.37192
3.5299	44.512	0.36567	45.074	0.37283	42.12	0.37218
3.5869	44.519	0.36583	45.082	0.37299	42.128	0.37235
3.6438	44.515	0.36567	45.078	0.37282	42.124	0.37218
3.7008	44.494	0.36628	45.057	0.37344	42.104	0.37279
3.7577	44.48	0.36627	45.044	0.37343	42.092	0.37278
3.8146	44.508	0.3662	45.073	0.37335	42.118	0.3727
3.8716	44.525	0.36585	45.091	0.37299	42.135	0.37235
3.9285	44.525	0.3664	45.091	0.37355	42.135	0.37291
3.9854	44.522	0.36683	45.088	0.37397	42.133	0.37333
4.0424	44.517	0.36673	45.083	0.37387	42.128	0.37322
4.0993	44.503	0.36736	45.07	0.37451	42.116	0.37386
4.1562	44.541	0.36695	45.109	0.37408	42.153	0.37344
4.2132	44.529	0.36702	45.098	0.37415	42.142	0.37351
4.2701	44.516	0.36737	45.085	0.3745	42.129	0.37386
