"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"LT BICEPS FEM.,uV"	"RT BICEPS FEM.,uV"	"LT VLO,uV"	"RT VLO,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
7.9093	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	-0.153192	0.126761	-0.330002	0.0899309	-0.305166	-0.110684	-0.145465	-2.03783	-13.4278	-12.97	-13.8857	-13.7331	0.0451717	-1.83522
7.9100	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	-0.153192	-0.178432	-0.0248122	0.0899309	-0.305166	-0.110684	-0.145465	-2.03783	-13.7331	-13.275	-13.5804	-14.1905	0.0448894	-62.5584
7.9107	0.0376331	0.156045	-0.148305	0.137128	0.0887074	-0.153192	0.126761	0.280358	0.0899309	0	0.1945	-0.145465	-2.03166	-14.0383	-13.275	-13.7331	-14.4956	0.0451717	-21.3465
7.9113	0.0376331	0.156045	0.156851	0.137128	0.0887074	0.151975	0.126761	-0.0248122	0.0899309	0	0.1945	0.15971	-2.03166	-14.4959	-13.5804	-14.4956	-14.6484	0.0453599	-39.0547
7.9120	0.0376331	-0.149133	0.156851	0.137128	-0.216478	0.151975	-0.178432	-0.0248122	0.0899309	0	-0.110684	-0.145465	-2.03166	-14.1907	-13.5804	-14.6483	-14.3433	0.0447012	-38.443
7.9127	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	-0.153192	-0.178432	-0.0248122	0.0899309	0	0.1945	-0.145465	-2.03166	-13.8854	-13.1225	-14.343	-14.3433	0.0447012	-35.0945
7.9133	0.0376331	-0.149133	-0.148305	-0.473226	-0.216478	-0.153192	-0.178432	-0.0248122	0.0899309	0	0.1945	0.15971	-2.03166	-14.4959	-12.97	-14.1909	-14.1905	0.0448894	-36.157
7.9140	0.0376331	-0.149133	0.156851	-0.168049	0.0887074	0.151975	0.126761	-0.0248122	0.0899309	0	-0.110684	0.15971	-2.03166	-14.1907	-13.1225	-14.343	-14.0382	0.0450776	-36.157
7.9147	0.342811	-0.149133	0.156851	0.137128	0.0887074	0.151975	0.431931	-0.0248122	0.0899309	0	-0.110684	-0.145465	-2.03166	-13.7331	-12.97	-14.6483	-14.1905	0.0448894	-36.318
7.9153	0.0376331	-0.149133	0.156851	0.137128	0.0887074	0.151975	0.126761	-0.0248122	0.395093	0	0.1945	0.15971	-2.02549	-14.0383	-12.6646	-14.343	-14.1905	0.0448894	-36.157
7.9160	0.0376331	0.156045	0.156851	0.137128	0.0887074	0.151975	0.126761	-0.0248122	0.395093	0.305166	0.1945	0.15971	-2.02549	-14.343	-12.8176	-14.1909	-14.3433	0.0451717	-35.7063
7.9167	0.0376331	0.156045	0.156851	-0.168049	0.0887074	-0.153192	0.126761	-0.0248122	0.0899309	0.305166	0.1945	0.15971	-2.02549	-14.4959	-12.6646	-14.343	-14.1905	0.0450776	-35.8672
7.9173	-0.267545	-0.454311	-0.148305	-0.168049	-0.216478	-0.458374	-0.178432	-0.330002	0.0899309	-0.305166	-0.110684	-0.145465	-2.03166	-14.343	-12.6646	-14.0383	-14.1905	0.0453599	-35.996
7.9180	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	-0.153192	-0.178432	-0.0248122	-0.215253	-0.305166	-0.110684	-0.145465	-2.03166	-14.0383	-13.275	-13.5804	-14.4956	0.0461128	-36.157
7.9187	0.0376331	-0.149133	-0.148305	-0.168049	0.0887074	-0.153192	0.126761	-0.0248122	0.0899309	0	0.1945	-0.145465	-2.02549	-13.8854	-13.5804	-13.7331	-14.3433	0.0465833	-36.318
7.9193	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	0.151975	0.126761	-0.0248122	0.0899309	0	-0.110684	-0.145465	-2.03166	-14.1907	-13.428	-14.0383	-14.1905	0.046301	-36.318
7.9200	0.0376331	-0.149133	0.156851	-0.168049	0.0887074	0.151975	0.126761	-0.0248122	-0.215253	-0.305166	-0.110684	-0.145465	-2.03166	-14.4959	-13.275	-14.6483	-14.6484	0.0447012	-37.7025
7.9207	0.0376331	-0.149133	-0.148305	-0.168049	0.0887074	-0.153192	-0.178432	-0.0248122	0.0899309	0	0.1945	0.15971	-2.02549	-14.4959	-13.5804	-15.1061	-15.1064	0.0426308	-39.6665
7.9213	0.0376331	-0.149133	-0.148305	-0.168049	-0.216478	-0.153192	0.126761	-0.0248122	0.0899309	0	-0.110684	0.15971	-2.02549	-14.1907	-13.1225	-14.6483	-14.6484	0.0416897	-39.9884
7.9220	0.0376331	0.156045	0.156851	0.137128	0.0887074	0.151975	0.126761	-0.0248122	0.0899309	0	-0.110684	-0.145465	-2.03166	-13.5802	-12.2072	-14.0383	-13.7331	0.0427249	-38.604
7.9227	0.342811	0.156045	0.156851	0.137128	0.393871	0.151975	0.126761	0.280358	0.0899309	0	-0.110684	-0.145465	-2.02549	-13.1226	-12.5121	-13.7331	-13.2752	0.0450776	-37.5415
