Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.056935	62.403	0.39338	67.488	0.3623	0.056935	43.937	0.60005	43.351	0.6165
0.11387	65.054	0.37799	67.668	0.36272	0.11387	44.873	0.58479	43.442	0.61399
0.1708	65.018	0.37927	67.626	0.36397	0.1708	44.913	0.58264	43.483	0.61171
0.22774	65.137	0.37806	67.749	0.36279	0.22774	45.01	0.58257	43.576	0.61151
0.28467	65.185	0.37802	67.796	0.36276	0.28467	45.04	0.58222	43.607	0.61113
0.34161	65.292	0.37822	67.904	0.36297	0.34161	45.166	0.57987	43.728	0.60869
0.39854	65.374	0.37877	67.988	0.36354	0.39854	45.263	0.57765	43.822	0.60641
0.45548	65.34	0.37805	67.952	0.36284	0.45548	45.283	0.57755	43.842	0.60624
0.51241	65.422	0.37761	68.034	0.36242	0.51241	45.254	0.5783	43.815	0.60695
0.56935	65.541	0.37694	68.153	0.36177	0.56935	45.364	0.5758	43.92	0.60429
0.62628	65.659	0.3778	68.273	0.36266	0.62628	45.41	0.57438	43.961	0.60282
0.68322	65.703	0.37658	68.316	0.36144	0.68322	45.559	0.57417	44.107	0.60248
0.74015	65.708	0.37586	68.321	0.36074	0.74015	45.719	0.57335	44.266	0.60153
0.79708	65.72	0.37382	68.333	0.35871	0.79708	45.782	0.57299	44.327	0.60103
0.85402	65.889	0.37305	68.508	0.35797	0.85402	45.864	0.57057	44.405	0.5985
0.91095	65.954	0.37485	68.573	0.35979	0.91095	45.729	0.57139	44.275	0.59942
0.96789	66.167	0.37417	68.795	0.35916	0.96789	45.746	0.5696	44.288	0.59763
1.0248	66.125	0.37387	68.752	0.35887	1.0248	45.759	0.56902	44.299	0.59707
1.0818	66.152	0.37298	68.781	0.358	1.0818	45.834	0.56922	44.374	0.59721
1.1387	66.284	0.37428	68.916	0.35934	1.1387	45.801	0.568	44.34	0.59601
1.1956	66.297	0.37487	68.928	0.35993	1.1956	45.897	0.56632	44.434	0.59423
1.2526	66.318	0.37364	68.952	0.35872	1.2526	45.986	0.56654	44.522	0.5944
1.3095	66.35	0.37268	68.984	0.35778	1.3095	46.036	0.56742	44.575	0.59524
1.3664	66.412	0.37362	69.046	0.35873	1.3664	46.035	0.56572	44.572	0.59351
1.4234	66.538	0.37306	69.178	0.35822	1.4234	46.093	0.56437	44.628	0.59211
1.4803	66.507	0.37348	69.145	0.35864	1.4803	46.065	0.56444	44.602	0.59217
1.5372	66.5	0.37454	69.134	0.35971	1.5372	46.028	0.56388	44.567	0.5916
1.5942	66.647	0.37349	69.289	0.3587	1.5942	46.11	0.56393	44.648	0.59161
1.6511	66.558	0.37394	69.194	0.35913	1.6511	46.162	0.56304	44.7	0.59066
1.708	66.551	0.37203	69.189	0.35724	1.708	46.185	0.56451	44.725	0.59213
1.765	66.625	0.37268	69.261	0.3579	1.765	46.268	0.56335	44.805	0.59088
1.8219	66.622	0.37341	69.256	0.35864	1.8219	46.221	0.56339	44.761	0.59097
1.8788	66.651	0.37245	69.288	0.35768	1.8788	46.26	0.56386	44.799	0.59145
1.9358	66.763	0.37294	69.401	0.3582	1.9358	46.29	0.56083	44.827	0.58834
1.9927	66.728	0.37345	69.363	0.35872	1.9927	46.281	0.55957	44.817	0.58704
2.0496	66.692	0.37377	69.324	0.35904	2.0496	46.296	0.5597	44.832	0.58716
2.1066	66.691	0.37331	69.323	0.35858	2.1066	46.356	0.55936	44.891	0.58677
2.1635	66.796	0.37273	69.434	0.35803	2.1635	46.364	0.55932	44.899	0.58675
