Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	55.28	0.36662	52.245	0.38465	0.055261	43.262	0.31633
0.11052	55.324	0.36583	52.287	0.38382	0.11052	39.572	0.34752
0.16578	55.378	0.36552	52.338	0.38352	0.16578	39.614	0.34715
0.22104	55.347	0.36624	52.311	0.38424	0.22104	39.564	0.34707
0.2763	55.403	0.36567	52.364	0.38363	0.2763	39.526	0.34702
0.33156	55.491	0.36469	52.448	0.38263	0.33156	39.583	0.34755
0.38683	55.515	0.36531	52.473	0.38326	0.38683	39.591	0.3477
0.44209	55.57	0.36575	52.53	0.38366	0.44209	39.555	0.34683
0.49735	55.633	0.36535	52.59	0.38323	0.49735	39.612	0.34631
0.55261	55.676	0.36583	52.632	0.38369	0.55261	39.576	0.34503
0.60787	55.741	0.36483	52.695	0.38264	0.60787	39.587	0.34444
0.66313	55.795	0.36453	52.746	0.38232	0.66313	39.59	0.34425
0.71839	55.79	0.36416	52.744	0.38193	0.71839	39.605	0.34482
0.77365	55.932	0.36328	52.879	0.381	0.77365	39.701	0.34408
0.82891	55.959	0.36328	52.907	0.38097	0.82891	39.676	0.34384
0.88417	56.026	0.36266	52.971	0.38032	0.88417	39.717	0.34364
0.93943	56.085	0.36158	53.026	0.37922	0.93943	39.779	0.34341
0.99469	56.108	0.3616	53.05	0.37923	0.99469	39.783	0.34309
1.05	56.102	0.36265	53.046	0.38031	1.05	39.758	0.34245
1.1052	56.132	0.3623	53.076	0.37993	1.1052	39.757	0.3419
1.1605	56.244	0.36207	53.183	0.37964	1.1605	39.774	0.34003
1.2157	56.32	0.3624	53.256	0.37995	1.2157	39.791	0.33869
1.271	56.324	0.3628	53.262	0.38035	1.271	39.808	0.33829
1.3263	56.377	0.3621	53.313	0.37966	1.3263	39.806	0.33941
1.3815	56.438	0.36389	53.373	0.38143	1.3815	39.792	0.33682
1.4368	56.429	0.36297	53.365	0.38049	1.4368	39.786	0.3366
1.492	56.438	0.36304	53.374	0.38056	1.492	39.773	0.33644
1.5473	56.486	0.36293	53.421	0.38042	1.5473	39.776	0.33652
1.6026	56.572	0.36295	53.504	0.38043	1.6026	39.813	0.33573
1.6578	56.61	0.36341	53.542	0.38087	1.6578	39.766	0.33443
1.7131	56.7	0.36333	53.629	0.38075	1.7131	39.763	0.33339
1.7683	56.734	0.36269	53.66	0.38008	1.7683	39.82	0.33284
1.8236	56.718	0.36251	53.646	0.37989	1.8236	39.804	0.3332
