Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.055261	42.063	0.4039	41.673	0.35312	0.055261	29.289	0.64422	31.282	0.63876
0.11052	44.764	0.36835	44.249	0.33704	0.11052	29.266	0.64451	31.257	0.63904
0.16578	44.747	0.36855	44.232	0.33721	0.16578	29.254	0.6445	31.245	0.63903
0.22104	44.752	0.36925	44.236	0.33792	0.22104	29.252	0.64389	31.242	0.63842
0.2763	44.752	0.36909	44.233	0.33771	0.2763	29.25	0.64472	31.24	0.63926
0.33156	44.763	0.37055	44.243	0.33918	0.33156	29.237	0.64342	31.226	0.63796
0.38683	44.75	0.36998	44.231	0.3386	0.38683	29.227	0.64459	31.215	0.63913
0.44209	44.772	0.37036	44.248	0.33897	0.44209	29.22	0.6451	31.208	0.63965
0.49735	44.751	0.37021	44.222	0.33874	0.49735	29.194	0.64692	31.18	0.64146
0.55261	44.743	0.37164	44.21	0.34011	0.55261	29.177	0.64736	31.161	0.6419
0.60787	44.776	0.3721	44.242	0.34057	0.60787	29.184	0.64725	31.169	0.64179
0.66313	44.819	0.37248	44.279	0.34098	0.66313	29.179	0.64691	31.163	0.64145
0.71839	44.786	0.37247	44.245	0.34091	0.71839	29.176	0.64863	31.16	0.64317
0.77365	44.849	0.37339	44.305	0.34189	0.77365	29.191	0.64661	31.175	0.64117
0.82891	44.883	0.37317	44.337	0.34167	0.82891	29.187	0.64715	31.172	0.64171
0.88417	44.882	0.37308	44.333	0.34158	0.88417	29.19	0.64772	31.174	0.64228
0.93943	44.939	0.37364	44.386	0.34218	0.93943	29.188	0.6467	31.172	0.64126
0.99469	44.953	0.37324	44.397	0.34176	0.99469	29.196	0.64905	31.18	0.64361
1.05	44.997	0.37286	44.439	0.34141	1.05	29.208	0.64987	31.193	0.64443
1.1052	44.996	0.3735	44.435	0.34208	1.1052	29.2	0.65005	31.184	0.64461
1.1605	45.012	0.37282	44.448	0.34141	1.1605	29.178	0.65177	31.16	0.64632
1.2157	45.027	0.37219	44.463	0.34081	1.2157	29.168	0.65258	31.149	0.64713
1.271	45.042	0.37293	44.476	0.34155	1.271	29.147	0.65234	31.127	0.64688
1.3263	45.078	0.37307	44.511	0.34174	1.3263	29.13	0.65087	31.109	0.64542
