Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.055261	53.305	0.23678	55.597	0.26023	0.055261	31.83	0.58154	33.215	0.60393
0.11052	53.37	0.23599	57.435	0.23791	0.11052	31.87	0.58134	33.258	0.60367
0.16578	53.427	0.23548	57.497	0.23739	0.16578	31.903	0.58056	33.296	0.60282
0.22104	53.448	0.23541	57.519	0.23733	0.22104	31.917	0.58007	33.312	0.6023
0.2763	53.483	0.23498	57.558	0.2369	0.2763	31.947	0.57972	33.345	0.60191
0.33156	53.479	0.23473	57.553	0.23664	0.33156	31.928	0.57961	33.325	0.60179
0.38683	53.501	0.23496	57.577	0.23687	0.38683	31.946	0.58	33.345	0.60218
0.44209	53.514	0.23479	57.591	0.2367	0.44209	31.982	0.57887	33.384	0.60098
0.49735	53.51	0.23494	57.586	0.23685	0.49735	31.944	0.58137	33.345	0.60355
0.55261	53.559	0.23424	57.64	0.23614	0.55261	31.978	0.58119	33.383	0.6033
0.60787	53.613	0.23366	57.698	0.23557	0.60787	32.033	0.57926	33.443	0.60128
0.66313	53.663	0.23319	57.752	0.23509	0.66313	32.083	0.57945	33.497	0.60141
0.71839	53.689	0.23322	57.78	0.23512	0.71839	32.099	0.5794	33.515	0.60136
0.77365	53.748	0.23329	57.844	0.23519	0.77365	32.154	0.57836	33.575	0.60027
0.82891	53.755	0.23309	57.852	0.23499	0.82891	32.156	0.5786	33.578	0.6005
0.88417	53.766	0.23292	57.863	0.23481	0.88417	32.144	0.57884	33.567	0.60073
0.93943	53.825	0.23228	57.927	0.23417	0.93943	32.168	0.57852	33.593	0.60039
0.99469	53.842	0.23214	57.946	0.23403	0.99469	32.19	0.57863	33.617	0.60047
1.05	53.871	0.23213	57.977	0.23402	1.05	32.202	0.57847	33.633	0.60027
1.1052	53.928	0.23154	58.039	0.23342	1.1052	32.24	0.57772	33.672	0.59947
1.1605	53.953	0.23175	58.065	0.23363	1.1605	32.239	0.57736	33.671	0.59913
1.2157	53.933	0.23174	58.045	0.23362	1.2157	32.24	0.57791	33.674	0.59966
1.271	53.95	0.23133	58.063	0.23321	1.271	32.239	0.57769	33.673	0.59941
1.3263	53.975	0.23102	58.09	0.2329	1.3263	32.244	0.57743	33.679	0.59914
1.3815	53.97	0.23129	58.084	0.23316	1.3815	32.241	0.57806	33.678	0.59979
1.4368	53.978	0.23157	58.094	0.23345	1.4368	32.269	0.57898	33.708	0.60069
1.492	54.011	0.23106	58.129	0.23293	1.492	32.265	0.57815	33.705	0.59982
1.5473	54.036	0.23101	58.156	0.23288	1.5473	32.274	0.57803	33.715	0.5997
1.6026	54.016	0.23081	58.135	0.23268	1.6026	32.271	0.57857	33.714	0.60024
1.6578	54.05	0.23061	58.172	0.23248	1.6578	32.246	0.57884	33.688	0.60052
1.7131	54.068	0.23035	58.192	0.23222	1.7131	32.248	0.57865	33.69	0.6003
1.7683	54.115	0.2301	58.243	0.23197	1.7683	32.263	0.57871	33.707	0.60035
1.8236	54.109	0.22994	58.236	0.2318	1.8236	32.259	0.57942	33.703	0.60106
1.8789	54.134	0.22969	58.263	0.23155	1.8789	32.259	0.57925	33.705	0.60088
1.9341	54.156	0.22971	58.287	0.23157	1.9341	32.245	0.57941	33.692	0.60106
1.9894	54.157	0.22947	58.288	0.23132	1.9894	32.267	0.58024	33.716	0.60186
2.0447	54.165	0.22936	58.297	0.23122	2.0447	32.261	0.57982	33.711	0.60142
2.0999	54.188	0.22943	58.322	0.23129	2.0999	32.257	0.58095	33.707	0.60261
2.1552	54.191	0.22941	58.326	0.23127	2.1552	32.265	0.58034	33.718	0.60195
2.2104	54.165	0.2295	58.297	0.23135	2.2104	32.273	0.5819	33.727	0.60355
2.2657	54.144	0.22992	58.275	0.23177	2.2657	32.285	0.58186	33.742	0.60346
2.321	54.181	0.22963	58.316	0.23149	2.321	32.262	0.58218	33.718	0.60381
2.3762	54.198	0.22916	58.333	0.23102	2.3762	32.292	0.58201	33.751	0.60359
