Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.055261	43.896	0.2116
0.11052	44.07	0.21117
0.16578	44.158	0.21125
0.22104	44.155	0.21159
0.2763	44.206	0.21132
0.33156	44.237	0.21138
0.38683	44.214	0.21094
0.44209	44.243	0.21082
0.49735	44.248	0.21033
0.55261	44.244	0.21015
0.60787	44.26	0.20952
0.66313	44.287	0.20895
0.71839	44.305	0.20884
0.77365	44.299	0.20897
0.82891	44.307	0.20911
0.88417	44.318	0.20872
0.93943	44.333	0.20855
0.99469	44.315	0.20833
1.05	44.302	0.20825
1.1052	44.277	0.20765
1.1605	44.259	0.20737
1.2157	44.244	0.20679
1.271	44.245	0.2067
1.3263	44.26	0.20591
1.3815	44.264	0.20571
1.4368	44.254	0.20505
1.492	44.249	0.20439
1.5473	44.251	0.20412
1.6026	44.248	0.20356
1.6578	44.252	0.20308
1.7131	44.246	0.20276
1.7683	44.243	0.2023
1.8236	44.24	0.20168
1.8789	44.235	0.20215
1.9341	44.26	0.20211
1.9894	44.257	0.20203
2.0447	44.288	0.20207
2.0999	44.293	0.20181
2.1552	44.273	0.20166
2.2104	44.275	0.20088
2.2657	44.259	0.20046
2.321	44.259	0.20059
2.3762	44.283	0.20025
2.4315	44.308	0.19993
2.4867	44.352	0.19957
2.542	44.356	0.19949
2.5973	44.373	0.19923
2.6525	44.37	0.1991
2.7078	44.395	0.19865
2.763	44.385	0.19841
2.8183	44.408	0.19794
2.8736	44.392	0.19764
2.9288	44.405	0.19717
2.9841	44.39	0.1969
3.0393	44.391	0.19687
3.0946	44.386	0.19648
3.1499	44.41	0.19629
3.2051	44.437	0.19612
3.2604	44.479	0.19605
3.3156	44.5	0.19597
3.3709	44.505	0.19571
3.4262	44.505	0.19543
3.4814	44.518	0.1954
3.5367	44.508	0.19539
3.592	44.519	0.19486
3.6472	44.547	0.19486
3.7025	44.541	0.19459
3.7577	44.54	0.19397
3.813	44.553	0.19394
3.8683	44.571	0.19389
3.9235	44.581	0.19379
3.9788	44.606	0.19372
4.034	44.608	0.19332
4.0893	44.632	0.19305
4.1446	44.63	0.19297
4.1998	44.627	0.19253
4.2551	44.623	0.19203
4.3103	44.634	0.19191
4.3656	44.632	0.19178
4.4209	44.642	0.19162
4.4761	44.659	0.19142
4.5314	44.654	0.19097
4.5866	44.684	0.19071
4.6419	44.682	0.19062
4.6972	44.725	0.19037
4.7524	44.749	0.19015
4.8077	44.769	0.19031
4.863	44.784	0.19027
4.9182	44.83	0.1899
4.9735	44.838	0.19006
5.0287	44.877	0.18988
5.084	44.889	0.18979
5.1393	44.921	0.18954
5.1945	44.934	0.1895
5.2498	44.954	0.18932
5.305	44.949	0.18957
5.3603	44.98	0.18884
5.4156	44.999	0.18851
5.4708	45.001	0.18851
5.5261	45.02	0.18851
5.5813	45.029	0.18816
5.6366	45.06	0.18789
5.6919	45.07	0.1879
5.7471	45.087	0.18781
5.8024	45.092	0.18788
5.8576	45.112	0.18761
5.9129	45.143	0.18745
5.9682	45.144	0.18746
6.0234	45.163	0.18717
6.0787	45.166	0.18695
6.134	45.185	0.18678
6.1892	45.207	0.18684
6.2445	45.222	0.18672
6.2997	45.241	0.18659
6.355	45.249	0.18656
6.4103	45.282	0.18652
6.4655	45.299	0.18641
6.5208	45.32	0.18656
6.576	45.351	0.18639
6.6313	45.392	0.18616
6.6866	45.406	0.18615
6.7418	45.43	0.18597
6.7971	45.443	0.18589
6.8523	45.443	0.18613
6.9076	45.47	0.18628
6.9629	45.459	0.18608
7.0181	45.465	0.186
7.0734	45.494	0.18584
7.1286	45.527	0.18592
7.1839	45.542	0.18607
7.2392	45.584	0.18584
7.2944	45.63	0.18579
7.3497	45.656	0.18558
7.405	45.692	0.18573
7.4602	45.723	0.18534
7.5155	45.739	0.18552
7.5707	45.779	0.18554
7.626	45.797	0.18534
7.6813	45.821	0.18543
7.7365	45.844	0.18558
7.7918	45.871	0.1854
7.847	45.892	0.18562
7.9023	45.911	0.18577
7.9576	45.92	0.18621
8.0128	45.962	0.18644
8.0681	45.943	0.18652
8.1233	45.94	0.18578
8.1786	45.957	0.18583
8.2339	45.953	0.18634
8.2891	45.986	0.18584
8.3444	46.022	0.18625
8.3996	46.054	0.18659
8.4549	46.093	0.187
8.5102	46.116	0.18724
8.5654	46.116	0.18724
8.6207	46.168	0.18783
8.676	46.161	0.18847
8.7312	46.186	0.18837
8.7865	46.195	0.18872
8.8417	46.22	0.18898
8.897	46.23	0.18866
8.9523	46.253	0.18896
9.0075	46.289	0.18908
9.0628	46.282	0.18875
9.118	46.3	0.18915
9.1733	46.301	0.18891
9.2286	46.304	0.18914
9.2838	46.319	0.1891
9.3391	46.361	0.18929
9.3943	46.362	0.1893
9.4496	46.384	0.18912
9.5049	46.431	0.18958
9.5601	46.433	0.18892
9.6154	46.454	0.18889
9.6706	46.505	0.1885
9.7259	46.515	0.18843
9.7812	46.543	0.1884
9.8364	46.564	0.18854
9.8917	46.579	0.18856
9.9469	46.601	0.18826
10.002	46.616	0.18782
10.057	46.626	0.18775
10.113	46.634	0.18805
10.168	46.642	0.18801
10.223	46.68	0.18805
10.279	46.687	0.18827
10.334	46.714	0.18827
10.389	46.692	0.1886
10.444	46.685	0.18858
10.5	46.679	0.18873
10.555	46.683	0.189
10.61	46.706	0.18894
10.665	46.721	0.18899
10.721	46.731	0.18933
10.776	46.755	0.18922
10.831	46.787	0.18901
10.886	46.782	0.1888
10.942	46.8	0.18884
10.997	46.798	0.18899
11.052	46.812	0.18915
11.107	46.817	0.18926
11.163	46.815	0.18946
11.218	46.808	0.18898
11.273	46.806	0.18951
11.328	46.795	0.18943
11.384	46.799	0.19018
11.439	46.82	0.19038
11.494	46.854	0.19014
11.55	46.888	0.19038
11.605	46.935	0.19012
11.66	46.955	0.18985
11.715	46.972	0.18997
11.771	46.978	0.19009
11.826	46.998	0.19014
11.881	47.006	0.19064
11.936	47.03	0.19076
11.992	47.035	0.1907
12.047	47.047	0.19077
12.102	47.059	0.19072
12.157	47.089	0.19061
12.213	47.089	0.19076
12.268	47.085	0.19088
12.323	47.096	0.19086
12.378	47.093	0.19092
12.434	47.087	0.19099
12.489	47.104	0.19098
12.544	47.09	0.19137
12.599	47.085	0.19132
12.655	47.09	0.19115
12.71	47.09	0.19128
12.765	47.097	0.19139
12.821	47.109	0.19166
12.876	47.11	0.1922
12.931	47.146	0.19223
12.986	47.173	0.19195
13.042	47.193	0.19178
13.097	47.195	0.19188
13.152	47.206	0.19208
13.207	47.222	0.1921
13.263	47.249	0.19222
13.318	47.251	0.19247
13.373	47.276	0.19258
13.428	47.258	0.19287
13.484	47.252	0.19277
13.539	47.267	0.1926
13.594	47.279	0.19341
13.649	47.298	0.19371
13.705	47.324	0.1937
13.76	47.356	0.1938
13.815	47.359	0.19411
13.87	47.355	0.19463
13.926	47.374	0.1948
13.981	47.385	0.19438
14.036	47.381	0.19405
14.092	47.359	0.19399
14.147	47.366	0.19492
14.202	47.364	0.1953
14.257	47.366	0.19528
14.313	47.362	0.19555
14.368	47.377	0.19518
14.423	47.4	0.19512
14.478	47.387	0.19566
14.534	47.411	0.19554
14.589	47.408	0.19573
14.644	47.416	0.19614
14.699	47.423	0.19663
14.755	47.412	0.19704
14.81	47.434	0.19721
14.865	47.447	0.19731
14.92	47.462	0.19728
14.976	47.465	0.19709
15.031	47.453	0.19756
15.086	47.457	0.19763
15.141	47.468	0.1976
15.197	47.459	0.19778
15.252	47.459	0.19795
15.307	47.469	0.19819
15.363	47.47	0.19829
15.418	47.455	0.19831
15.473	47.468	0.19827
15.528	47.481	0.19842
15.584	47.498	0.19799
15.639	47.499	0.19867
15.694	47.512	0.19838
15.749	47.517	0.19839
15.805	47.521	0.19856
15.86	47.545	0.19837
15.915	47.539	0.19821
15.97	47.541	0.19839
16.026	47.559	0.19851
16.081	47.558	0.19858
