Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.055261	57.342	0.18399
0.11052	57.326	0.18329
0.16578	57.355	0.18348
0.22104	57.378	0.1836
0.2763	57.381	0.18316
0.33156	57.38	0.1829
0.38683	57.435	0.18362
0.44209	57.42	0.18418
0.49735	57.465	0.18382
0.55261	57.47	0.18284
0.60787	57.49	0.18186
0.66313	57.494	0.18209
0.71839	57.514	0.1817
0.77365	57.528	0.18132
0.82891	57.544	0.17994
0.88417	57.554	0.1793
0.93943	57.573	0.17965
0.99469	57.606	0.17993
1.05	57.639	0.18013
1.1052	57.62	0.17913
1.1605	57.644	0.17921
1.2157	57.671	0.17958
1.271	57.652	0.17925
1.3263	57.681	0.17909
1.3815	57.708	0.17924
1.4368	57.74	0.17884
1.492	57.716	0.17828
1.5473	57.707	0.17792
1.6026	57.761	0.17754
1.6578	57.806	0.177
1.7131	57.835	0.17689
1.7683	57.872	0.17679
1.8236	57.904	0.17649
1.8789	57.974	0.17541
1.9341	58.021	0.17562
1.9894	57.98	0.17576
2.0447	58.001	0.17499
2.0999	58.033	0.17514
2.1552	58.033	0.17481
2.2104	58.042	0.174
2.2657	58.051	0.1738
2.321	58.068	0.17374
2.3762	58.08	0.17329
2.4315	58.08	0.17316
2.4867	58.08	0.17301
2.542	58.086	0.17319
2.5973	58.107	0.17292
2.6525	58.106	0.17198
2.7078	58.121	0.17124
2.763	58.129	0.17084
2.8183	58.134	0.17086
2.8736	58.132	0.17098
2.9288	58.146	0.17001
2.9841	58.131	0.16984
3.0393	58.161	0.17012
3.0946	58.15	0.17045
3.1499	58.175	0.16953
3.2051	58.189	0.16898
3.2604	58.215	0.16816
3.3156	58.234	0.168
3.3709	58.268	0.16769
3.4262	58.269	0.16729
3.4814	58.266	0.16683
3.5367	58.253	0.16661
3.592	58.277	0.16719
3.6472	58.29	0.16652
3.7025	58.305	0.16558
3.7577	58.314	0.16553
3.813	58.304	0.16517
3.8683	58.292	0.16449
3.9235	58.298	0.16358
3.9788	58.317	0.16339
4.034	58.322	0.16308
4.0893	58.319	0.16283
4.1446	58.334	0.16251
4.1998	58.355	0.16197
4.2551	58.351	0.16167
4.3103	58.345	0.16076
4.3656	58.363	0.16092
4.4209	58.372	0.16097
4.4761	58.372	0.1607
4.5314	58.378	0.16051
4.5866	58.356	0.16035
4.6419	58.379	0.15991
4.6972	58.41	0.16029
4.7524	58.413	0.15993
4.8077	58.413	0.1591
4.863	58.458	0.15983
4.9182	58.457	0.15888
4.9735	58.467	0.15965
5.0287	58.479	0.1593
5.084	58.487	0.15897
5.1393	58.519	0.15848
5.1945	58.564	0.15856
5.2498	58.6	0.15849
5.305	58.632	0.15809
5.3603	58.624	0.15813
5.4156	58.647	0.1575
5.4708	58.684	0.15736
5.5261	58.705	0.15692
5.5813	58.723	0.157
5.6366	58.737	0.1573
5.6919	58.741	0.15692
5.7471	58.755	0.15673
5.8024	58.763	0.15671
5.8576	58.794	0.15656
5.9129	58.81	0.15679
5.9682	58.812	0.15653
6.0234	58.827	0.1561
6.0787	58.841	0.15619
6.134	58.85	0.15622
6.1892	58.835	0.15572
6.2445	58.86	0.15563
6.2997	58.853	0.15558
6.355	58.837	0.15398
6.4103	58.865	0.15406
6.4655	58.854	0.15379
6.5208	58.851	0.15357
6.576	58.843	0.15331
6.6313	58.843	0.15337
6.6866	58.82	0.15307
6.7418	58.821	0.1525
6.7971	58.786	0.15228
6.8523	58.758	0.15239
6.9076	58.736	0.15243
6.9629	58.759	0.15245
7.0181	58.753	0.15244
7.0734	58.732	0.15242
7.1286	58.72	0.15251
7.1839	58.729	0.1528
7.2392	58.731	0.15228
7.2944	58.715	0.15177
7.3497	58.723	0.1519
7.405	58.727	0.15197
7.4602	58.745	0.15193
7.5155	58.733	0.15244
7.5707	58.747	0.15248
7.626	58.764	0.15255
7.6813	58.768	0.15216
7.7365	58.816	0.15166
7.7918	58.817	0.15139
7.847	58.866	0.15185
7.9023	58.871	0.15147
7.9576	58.924	0.15145
8.0128	58.93	0.15144
8.0681	58.925	0.15084
8.1233	58.952	0.15042
8.1786	58.992	0.15048
8.2339	58.969	0.15039
8.2891	59.024	0.1503
8.3444	59.025	0.15035
8.3996	59.045	0.15047
8.4549	59.06	0.15002
8.5102	59.082	0.14999
8.5654	59.096	0.15005
8.6207	59.09	0.14987
8.676	59.09	0.14976
8.7312	59.129	0.14974
8.7865	59.162	0.14977
8.8417	59.187	0.15036
8.897	59.261	0.15219
8.9523	59.267	0.1531
9.0075	59.273	0.1527
9.0628	59.274	0.15221
9.118	59.284	0.15163
9.1733	59.294	0.15096
9.2286	59.28	0.15043
9.2838	59.27	0.14936
9.3391	59.299	0.14995
9.3943	59.289	0.15002
9.4496	59.289	0.15007
9.5049	59.279	0.14966
9.5601	59.266	0.14856
9.6154	59.27	0.14806
9.6706	59.261	0.14759
9.7259	59.274	0.14761
9.7812	59.264	0.14815
9.8364	59.251	0.14817
9.8917	59.241	0.14754
9.9469	59.24	0.14726
10.002	59.222	0.14728
10.057	59.231	0.14693
10.113	59.223	0.14676
10.168	59.216	0.14678
10.223	59.203	0.14726
10.279	59.19	0.14664
10.334	59.17	0.14632
10.389	59.145	0.14627
10.444	59.142	0.14595
10.5	59.121	0.14504
10.555	59.113	0.14491
10.61	59.095	0.14445
10.665	59.073	0.14385
10.721	59.067	0.14381
10.776	59.055	0.14378
10.831	59.033	0.14431
10.886	59.015	0.14413
10.942	59.006	0.14443
10.997	58.998	0.14407
11.052	58.972	0.14359
11.107	58.961	0.14356
11.163	58.947	0.14377
11.218	58.927	0.14357
11.273	58.939	0.14371
11.328	58.916	0.14343
11.384	58.912	0.1438
11.439	58.88	0.14336
11.494	58.843	0.14342
11.55	58.857	0.14322
11.605	58.822	0.14263
11.66	58.808	0.14277
11.715	58.794	0.14323
11.771	58.782	0.14309
11.826	58.784	0.14294
11.881	58.745	0.14312
11.936	58.732	0.14286
11.992	58.772	0.14308
12.047	58.761	0.14309
12.102	58.735	0.1431
12.157	58.744	0.14352
12.213	58.739	0.14354
12.268	58.719	0.1437
12.323	58.707	0.14333
12.378	58.707	0.14342
12.434	58.69	0.14381
12.489	58.663	0.14353
12.544	58.685	0.1433
12.599	58.685	0.14365
12.655	58.669	0.14412
12.71	58.672	0.144
12.765	58.638	0.14419
12.821	58.656	0.14435
12.876	58.643	0.14424
12.931	58.638	0.14419
12.986	58.611	0.14447
13.042	58.59	0.14406
13.097	58.578	0.14355
13.152	58.555	0.14415
13.207	58.565	0.14385
13.263	58.522	0.14466
13.318	58.524	0.14426
13.373	58.501	0.14447
13.428	58.489	0.14459
13.484	58.467	0.14393
13.539	58.457	0.1439
13.594	58.435	0.14415
13.649	58.411	0.14436
13.705	58.396	0.14425
13.76	58.387	0.14375
13.815	58.366	0.14438
13.87	58.33	0.14409
13.926	58.316	0.14325
13.981	58.281	0.14411
14.036	58.258	0.14378
14.092	58.229	0.14356
14.147	58.188	0.14434
14.202	58.163	0.14358
14.257	58.12	0.14315
14.313	58.122	0.14324
14.368	58.141	0.1438
14.423	58.116	0.14451
14.478	58.093	0.14424
14.534	58.126	0.14494
14.589	58.1	0.14514
14.644	58.081	0.14455
14.699	58.06	0.1451
14.755	58.042	0.14553
14.81	57.987	0.14476
14.865	57.964	0.14503
14.92	57.948	0.14553
14.976	57.9	0.14494
15.031	57.882	0.14495
15.086	57.851	0.145
15.141	57.849	0.14569
15.197	57.806	0.14522
15.252	57.786	0.14581
15.307	57.795	0.14577
15.363	57.772	0.14635
15.418	57.765	0.14727
15.473	57.735	0.14666
15.528	57.758	0.14727
15.584	57.739	0.14802
15.639	57.746	0.14802
15.694	57.753	0.14803
15.749	57.708	0.14857
15.805	57.694	0.14898
15.86	57.691	0.14909
15.915	57.702	0.14956
15.97	57.663	0.14915
16.026	57.679	0.15012
16.081	57.65	0.15049
16.136	57.687	0.15095
16.191	57.71	0.15171
16.247	57.699	0.15126
16.302	57.691	0.1517
16.357	57.687	0.15186
16.412	57.694	0.15277
16.468	57.687	0.15354
16.523	57.706	0.154
16.578	57.682	0.15337
16.634	57.642	0.15384
16.689	57.628	0.15355
16.744	57.633	0.15241
16.799	57.604	0.15272
16.855	57.607	0.15261
16.91	57.618	0.15239
16.965	57.6	0.15334
17.02	57.61	0.15333
17.076	57.576	0.15279
17.131	57.568	0.15367
17.186	57.576	0.15485
17.241	57.569	0.15342
17.297	57.574	0.15331
17.352	57.573	0.15428
17.407	57.551	0.15417
17.462	57.526	0.15389
17.518	57.483	0.15348
17.573	57.492	0.15465
17.628	57.477	0.15498
17.683	57.465	0.15512
17.739	57.445	0.15495
