Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	52.589	0.30072	0.055261	38.823	0.29067
0.11052	52.702	0.30129	0.11052	38.869	0.28885
0.16578	52.717	0.30058	0.16578	38.89	0.29023
0.22104	52.735	0.30044	0.22104	38.941	0.2907
0.2763	52.805	0.30098	0.2763	39.007	0.28969
0.33156	52.803	0.30144	0.33156	38.972	0.28922
0.38683	52.832	0.30037	0.38683	39.001	0.29077
0.44209	52.893	0.30044	0.44209	39.05	0.29033
0.49735	52.893	0.2999	0.49735	39.063	0.2913
0.55261	52.904	0.30021	0.55261	39.046	0.29127
0.60787	52.946	0.30151	0.60787	39.012	0.2899
0.66313	53.023	0.30072	0.66313	39.044	0.29045
0.71839	53.065	0.30054	0.71839	39.078	0.29075
0.77365	53.128	0.30133	0.77365	39.137	0.28973
0.82891	53.189	0.30088	0.82891	39.232	0.28957
0.88417	53.219	0.30145	0.88417	39.248	0.28946
0.93943	53.233	0.30128	0.93943	39.261	0.28952
0.99469	53.276	0.30158	0.99469	39.291	0.28853
1.05	53.324	0.30273	1.05	39.311	0.28713
1.1052	53.357	0.30283	1.1052	39.342	0.28712
1.1605	53.391	0.30381	1.1605	39.379	0.28573
1.2157	53.376	0.30493	1.2157	39.35	0.28466
1.271	53.434	0.30618	1.271	39.343	0.28218
1.3263	53.464	0.30733	1.3263	39.317	0.28012
1.3815	53.505	0.30661	1.3815	39.377	0.27963
1.4368	53.512	0.30633	1.4368	39.409	0.27971
1.492	53.549	0.30732	1.492	39.365	0.27824
1.5473	53.619	0.3068	1.5473	39.38	0.27828
1.6026	53.628	0.30688	1.6026	39.393	0.2773
1.6578	53.674	0.30789	1.6578	39.422	0.27503
1.7131	53.673	0.3083	1.7131	39.402	0.27476
1.7683	53.741	0.30805	1.7683	39.389	0.27477
1.8236	53.786	0.30872	1.8236	39.395	0.27366
1.8789	53.791	0.30877	1.8789	39.403	0.27355
1.9341	53.821	0.30914	1.9341	39.414	0.27214
1.9894	53.86	0.3101	1.9894	39.374	0.27056
2.0447	53.905	0.3099	2.0447	39.375	0.27058
2.0999	53.939	0.31019	2.0999	39.383	0.27088
2.1552	53.985	0.3108	2.1552	39.369	0.27044
2.2104	54.056	0.31099	2.2104	39.394	0.26945
2.2657	54.093	0.31109	2.2657	39.374	0.26911
2.321	54.145	0.31119	2.321	39.36	0.26889
2.3762	54.202	0.31086	2.3762	39.38	0.26877
2.4315	54.256	0.31122	2.4315	39.4	0.26795
2.4867	54.304	0.31131	2.4867	39.383	0.26766
