Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.056935	63.505	0.34329	58.43	0.33965	0.056935	43.334	0.58475
0.11387	63.453	0.34335	58.381	0.33971	0.11387	43.375	0.58505
0.1708	63.362	0.34303	58.298	0.33939	0.1708	43.381	0.58709
0.22774	63.361	0.34319	58.297	0.33954	0.22774	43.37	0.58753
0.28467	63.34	0.3425	58.278	0.33886	0.28467	43.394	0.58857
0.34161	63.31	0.34226	58.249	0.33862	0.34161	43.421	0.58987
0.39854	63.315	0.34231	58.254	0.33867	0.39854	43.443	0.58968
0.45548	63.329	0.34221	58.266	0.33857	0.45548	43.477	0.58915
0.51241	63.32	0.34204	58.258	0.3384	0.51241	43.457	0.58963
0.56935	63.289	0.34249	58.229	0.33885	0.56935	43.465	0.58881
0.62628	63.244	0.34235	58.187	0.33871	0.62628	43.519	0.58925
0.68322	63.232	0.34158	58.177	0.33794	0.68322	43.541	0.58921
0.74015	63.203	0.34127	58.149	0.33763	0.74015	43.547	0.59032
0.79708	63.205	0.34117	58.151	0.33754	0.79708	43.535	0.59013
0.85402	63.226	0.3409	58.17	0.33727	0.85402	43.576	0.58948
0.91095	63.174	0.34145	58.122	0.33781	0.91095	43.558	0.58917
0.96789	63.194	0.34213	58.14	0.3385	0.96789	43.55	0.58894
1.0248	63.185	0.34185	58.132	0.33821	1.0248	43.576	0.58982
1.0818	63.156	0.34214	58.105	0.3385	1.0818	43.553	0.59046
1.1387	63.169	0.34153	58.116	0.3379	1.1387	43.599	0.59128
1.1956	63.147	0.34175	58.096	0.33811	1.1956	43.6	0.59048
1.2526	63.162	0.34169	58.109	0.33806	1.2526	43.588	0.59103
1.3095	63.116	0.34194	58.067	0.33831	1.3095	43.59	0.59178
1.3664	63.139	0.34167	58.088	0.33804	1.3664	43.626	0.59151
1.4234	63.126	0.34184	58.076	0.33821	1.4234	43.615	0.59139
1.4803	63.1	0.34237	58.051	0.33874	1.4803	43.616	0.59162
1.5372	63.081	0.34241	58.033	0.33878	1.5372	43.632	0.59179
1.5942	63.01	0.34282	57.968	0.33919	1.5942	43.67	0.59144
1.6511	62.969	0.34365	57.929	0.34001	1.6511	43.7	0.59057
1.708	62.862	0.3447	57.83	0.34106	1.708	43.691	0.59122
1.765	62.875	0.34499	57.843	0.34134	1.765	43.691	0.59105
1.8219	62.867	0.34528	57.835	0.34163	1.8219	43.668	0.59061
1.8788	62.852	0.34532	57.821	0.34168	1.8788	43.663	0.59084
1.9358	62.865	0.34517	57.833	0.34153	1.9358	43.704	0.59067
1.9927	62.891	0.34538	57.856	0.34174	1.9927	43.758	0.59051
2.0496	62.848	0.34542	57.817	0.34178	2.0496	43.719	0.59136
2.1066	62.848	0.34594	57.816	0.3423	2.1066	43.718	0.59023
2.1635	62.808	0.34594	57.779	0.34229	2.1635	43.684	0.59147
2.2205	62.805	0.34579	57.776	0.34215	2.2205	43.714	0.59115
2.2774	62.776	0.34593	57.749	0.34229	2.2774	43.721	0.59146
2.3343	62.75	0.34651	57.725	0.34286	2.3343	43.707	0.59169
2.3913	62.694	0.34669	57.674	0.34305	2.3913	43.73	0.59218
2.4482	62.75	0.34683	57.725	0.34319	2.4482	43.757	0.5907
2.5051	62.747	0.34686	57.722	0.34323	2.5051	43.745	0.59087
2.5621	62.719	0.34706	57.696	0.34342	2.5621	43.812	0.59058
2.619	62.706	0.34663	57.684	0.34299	2.619	43.831	0.59077
2.6759	62.782	0.34678	57.754	0.34314	2.6759	43.862	0.58966
2.7329	62.742	0.34718	57.717	0.34355	2.7329	43.849	0.59027
2.7898	62.717	0.34717	57.694	0.34354	2.7898	43.865	0.59071
2.8467	62.717	0.34763	57.693	0.344	2.8467	43.859	0.59023
2.9037	62.726	0.34774	57.702	0.3441	2.9037	43.883	0.59006
2.9606	62.763	0.34762	57.735	0.34398	2.9606	43.905	0.58973
3.0175	62.716	0.34839	57.692	0.34475	3.0175	43.889	0.58966
3.0745	62.764	0.34816	57.736	0.34452	3.0745	43.918	0.58894
3.1314	62.726	0.34853	57.7	0.34489	3.1314	43.915	0.5891
3.1883	62.707	0.34897	57.683	0.34532	3.1883	43.897	0.58921
3.2453	62.689	0.34938	57.665	0.34574	3.2453	43.924	0.58907
3.3022	62.721	0.34907	57.695	0.34543	3.3022	43.96	0.58898
3.3591	62.679	0.34995	57.656	0.34631	3.3591	43.945	0.58843
3.4161	62.696	0.34974	57.671	0.3461	3.4161	43.95	0.58893
3.473	62.723	0.34976	57.696	0.34612	3.473	44.01	0.58815
3.5299	62.693	0.34997	57.668	0.34633	3.5299	44.001	0.58772
3.5869	62.705	0.35017	57.679	0.34654	3.5869	43.998	0.58775
3.6438	62.694	0.34999	57.669	0.34635	3.6438	44.004	0.5882
3.7008	62.655	0.35054	57.632	0.3469	3.7008	44.002	0.58842
3.7577	62.644	0.35066	57.622	0.34702	3.7577	43.996	0.58896
3.8146	62.671	0.35052	57.646	0.34689	3.8146	44.071	0.58868
3.8716	62.688	0.35018	57.662	0.34654	3.8716	44.114	0.58854
3.9285	62.684	0.35077	57.658	0.34713	3.9285	44.114	0.58847
3.9854	62.681	0.35121	57.655	0.34758	3.9854	44.111	0.58805
4.0424	62.666	0.35104	57.641	0.34741	4.0424	44.137	0.58823
4.0993	62.641	0.35165	57.617	0.34801	4.0993	44.137	0.58848
4.1562	62.705	0.35134	57.676	0.34771	4.1562	44.159	0.58799
4.2132	62.68	0.35139	57.653	0.34777	4.2132	44.193	0.58814
4.2701	62.653	0.35175	57.627	0.34812	4.2701	44.195	0.58847
4.327	62.703	0.35155	57.673	0.34792	4.327	44.216	0.58761
4.384	62.719	0.35156	57.688	0.34794	4.384	44.231	0.58695
4.4409	62.712	0.35247	57.681	0.34885	4.4409	44.226	0.58658
4.4978	62.67	0.35291	57.641	0.34928	4.4978	44.214	0.58673
4.5548	62.733	0.35223	57.699	0.34861	4.5548	44.234	0.58664
4.6117	62.697	0.35314	57.666	0.34951	4.6117	44.229	0.58639
4.6686	62.675	0.35292	57.646	0.3493	4.6686	44.227	0.58725
4.7256	62.664	0.35359	57.635	0.34996	4.7256	44.247	0.58711
4.7825	62.678	0.35339	57.648	0.34976	4.7825	44.245	0.58771
4.8394	62.643	0.35372	57.615	0.35009	4.8394	44.256	0.5881
4.8964	62.684	0.35372	57.653	0.35009	4.8964	44.263	0.58713
4.9533	62.665	0.35382	57.636	0.35019	4.9533	44.28	0.58723
5.0102	62.65	0.35371	57.622	0.35008	5.0102	44.321	0.5875
5.0672	62.671	0.35359	57.641	0.34995	5.0672	44.351	0.58732
5.1241	62.666	0.35409	57.636	0.35046	5.1241	44.357	0.58693
5.1811	62.666	0.35423	57.636	0.35059	5.1811	44.399	0.58631
5.238	62.698	0.3539	57.665	0.35027	5.238	44.41	0.586
5.2949	62.689	0.35391	57.656	0.35028	5.2949	44.458	0.58546
5.3519	62.628	0.3546	57.599	0.35097	5.3519	44.455	0.58577
5.4088	62.631	0.35445	57.602	0.35081	5.4088	44.492	0.58577
5.4657	62.646	0.35437	57.615	0.35073	5.4657	44.509	0.5855
5.5227	62.64	0.35478	57.61	0.35114	5.5227	44.489	0.58521
5.5796	62.608	0.35449	57.58	0.35085	5.5796	44.487	0.58633
5.6365	62.616	0.35459	57.587	0.35095	5.6365	44.503	0.58589
5.6935	62.625	0.35503	57.595	0.35139	5.6935	44.491	0.58559
5.7504	62.618	0.35485	57.589	0.35122	5.7504	44.492	0.58477
5.8073	62.603	0.35523	57.575	0.35159	5.8073	44.502	0.58431
5.8643	62.612	0.35544	57.583	0.3518	5.8643	44.51	0.58371
5.9212	62.596	0.35552	57.568	0.35188	5.9212	44.488	0.58463
5.9781	62.579	0.35604	57.552	0.35241	5.9781	44.468	0.58458
6.0351	62.566	0.35597	57.54	0.35233	6.0351	44.465	0.58526
6.092	62.574	0.35623	57.548	0.35259	6.092	44.479	0.58493
6.1489	62.569	0.35563	57.543	0.35199	6.1489	44.481	0.58542
6.2059	62.537	0.35598	57.513	0.35235	6.2059	44.46	0.58553
6.2628	62.548	0.35622	57.524	0.35258	6.2628	44.464	0.5846
6.3197	62.558	0.35606	57.533	0.35243	6.3197	44.487	0.58431
6.3767	62.518	0.35657	57.496	0.35294	6.3767	44.461	0.58403
6.4336	62.493	0.35609	57.473	0.35246	6.4336	44.524	0.58505
6.4905	62.462	0.35648	57.444	0.35284	6.4905	44.493	0.58549
6.5475	62.441	0.35704	57.424	0.3534	6.5475	44.488	0.58489
6.6044	62.414	0.35791	57.399	0.35426	6.6044	44.476	0.58464
6.6614	62.387	0.35812	57.374	0.35447	6.6614	44.473	0.58442
6.7183	62.374	0.35788	57.363	0.35424	6.7183	44.475	0.58532
6.7752	62.37	0.35798	57.358	0.35434	6.7752	44.499	0.58442
6.8322	62.379	0.35861	57.367	0.35497	6.8322	44.488	0.58364
6.8891	62.346	0.3584	57.336	0.35476	6.8891	44.512	0.58376
