Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.051935	63.597	0.18772	0.051935	32.545	0.52076	33.151	0.55182
0.10387	63.612	0.18856	0.10387	32.556	0.51936	33.162	0.55036
0.1558	63.618	0.18862	0.1558	32.579	0.51954	33.187	0.55053
0.20774	63.542	0.18831	0.20774	32.586	0.51964	33.196	0.55054
0.25967	63.525	0.18826	0.25967	32.611	0.52022	33.223	0.55104
0.31161	63.535	0.18846	0.31161	32.595	0.51955	33.208	0.55037
0.36354	63.591	0.18894	0.36354	32.594	0.51889	33.207	0.54978
0.41548	63.586	0.18877	0.41548	32.629	0.51853	33.247	0.54929
0.46741	63.601	0.18972	0.46741	32.608	0.51728	33.222	0.54794
0.51935	63.632	0.19088	0.51935	32.6	0.51632	33.215	0.54696
0.57128	63.661	0.19074	0.57128	32.6	0.51532	33.214	0.54591
0.62321	63.665	0.19091	0.62321	32.623	0.51507	33.24	0.54557
0.67515	63.69	0.1914	0.67515	32.644	0.5142	33.262	0.54471
0.72708	63.657	0.19109	0.72708	32.642	0.51398	33.26	0.54448
0.77902	63.638	0.19026	0.77902	32.672	0.51413	33.293	0.54454
0.83095	63.651	0.19023	0.83095	32.689	0.51363	33.313	0.54401
0.88289	63.656	0.19009	0.88289	32.722	0.51377	33.349	0.54411
0.93482	63.673	0.18941	0.93482	32.769	0.51394	33.401	0.54423
0.98676	63.651	0.18934	0.98676	32.779	0.51402	33.412	0.54429
1.0387	63.629	0.18909	1.0387	32.806	0.51431	33.444	0.54454
1.0906	63.604	0.18923	1.0906	32.831	0.51435	33.473	0.54455
1.1426	63.601	0.18932	1.1426	32.852	0.51407	33.497	0.54422
1.1945	63.574	0.18883	1.1945	32.849	0.51381	33.495	0.5439
1.2464	63.577	0.18886	1.2464	32.861	0.51364	33.509	0.54371
1.2984	63.587	0.18851	1.2984	32.894	0.51406	33.545	0.54412
1.3503	63.576	0.18819	1.3503	32.928	0.51431	33.582	0.54432
1.4022	63.617	0.18839	1.4022	32.941	0.51359	33.596	0.54355
1.4542	63.642	0.18854	1.4542	32.955	0.51298	33.611	0.54293
