Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.053079	39.572	0.37852	42.957	0.37638	0.053079	31.858	0.54555	33.639	0.53556
0.10616	39.576	0.3764	42.962	0.37428	0.10616	31.839	0.54685	33.618	0.53682
0.15924	39.577	0.37829	42.962	0.37616	0.15924	31.852	0.54615	33.632	0.53614
0.21231	39.663	0.37713	43.055	0.375	0.21231	31.859	0.54577	33.639	0.53576
0.26539	39.614	0.37833	43.002	0.3762	0.26539	31.869	0.54726	33.648	0.53726
0.31847	39.665	0.37812	43.057	0.376	0.31847	31.859	0.5463	33.638	0.5363
0.37155	39.665	0.379	43.057	0.37687	0.37155	31.845	0.54565	33.623	0.53567
0.42463	39.67	0.37874	43.062	0.37662	0.42463	31.861	0.54641	33.639	0.53642
0.47771	39.706	0.37806	43.101	0.37594	0.47771	31.902	0.54591	33.683	0.53592
0.53079	39.727	0.37891	43.123	0.37679	0.53079	31.895	0.54507	33.675	0.53509
0.58386	39.735	0.37917	43.132	0.37705	0.58386	31.905	0.54565	33.685	0.53569
0.63694	39.747	0.37949	43.144	0.37737	0.63694	31.907	0.54561	33.686	0.53565
0.69002	39.75	0.37922	43.148	0.37711	0.69002	31.901	0.54618	33.679	0.53623
0.7431	39.754	0.37928	43.152	0.37717	0.7431	31.897	0.54779	33.675	0.53784
0.79618	39.767	0.37966	43.166	0.37754	0.79618	31.89	0.54876	33.667	0.53882
0.84926	39.804	0.38	43.205	0.37789	0.84926	31.885	0.54771	33.661	0.53778
0.90234	39.804	0.38008	43.204	0.37797	0.90234	31.925	0.54777	33.702	0.53789
0.95541	39.815	0.38067	43.216	0.37855	0.95541	31.912	0.5489	33.688	0.539
1.0085	39.835	0.38072	43.238	0.37861	1.0085	31.94	0.54957	33.717	0.53968
1.0616	39.847	0.38044	43.25	0.37833	1.0616	31.954	0.5499	33.731	0.54001
1.1146	39.896	0.38091	43.304	0.3788	1.1146	31.963	0.54812	33.739	0.53827
1.1677	39.927	0.38198	43.337	0.37987	1.1677	31.943	0.54789	33.718	0.53803
1.2208	39.929	0.38251	43.339	0.38039	1.2208	31.941	0.54882	33.716	0.53896
1.2739	39.954	0.38236	43.366	0.38025	1.2739	31.944	0.54781	33.719	0.53795
1.327	39.967	0.38223	43.379	0.38012	1.327	31.962	0.5482	33.737	0.53835
1.38	40.028	0.38125	43.445	0.37915	1.38	31.952	0.54842	33.727	0.53859
1.4331	40.073	0.38127	43.494	0.37918	1.4331	31.987	0.54765	33.763	0.53783
1.4862	40.081	0.38071	43.503	0.37862	1.4862	31.984	0.54884	33.759	0.53902
1.5393	40.097	0.38042	43.519	0.37834	1.5393	31.977	0.54774	33.751	0.53793
1.5924	40.134	0.37906	43.561	0.37698	1.5924	31.981	0.54862	33.755	0.53881
1.6454	40.159	0.37888	43.587	0.3768	1.6454	31.998	0.54836	33.772	0.53857
1.6985	40.21	0.37898	43.641	0.37691	1.6985	31.998	0.54763	33.772	0.53786
1.7516	40.243	0.37896	43.677	0.37689	1.7516	31.994	0.54698	33.768	0.53721
1.8047	40.275	0.37946	43.712	0.37739	1.8047	32.021	0.5458	33.796	0.53606
1.8577	40.303	0.37885	43.742	0.37679	1.8577	32.041	0.54636	33.816	0.53663
1.9108	40.384	0.37918	43.829	0.37712	1.9108	32.023	0.54566	33.797	0.53593
1.9639	40.47	0.37718	43.923	0.37514	1.9639	32.073	0.5461	33.849	0.53638
2.017	40.494	0.37761	43.948	0.37556	2.017	32.111	0.54665	33.888	0.53694
2.0701	40.505	0.37722	43.96	0.37518	2.0701	32.116	0.54637	33.892	0.53667
2.1231	40.577	0.37741	44.038	0.37537	2.1231	32.152	0.54596	33.931	0.53628
2.1762	40.633	0.37628	44.099	0.37426	2.1762	32.135	0.54631	33.912	0.53661
2.2293	40.683	0.37522	44.153	0.3732	2.2293	32.189	0.54736	33.968	0.5377
2.2824	40.7	0.37729	44.171	0.37526	2.2824	32.214	0.54555	33.995	0.53589
2.3355	40.713	0.37806	44.184	0.37604	2.3355	32.174	0.54264	33.952	0.533
2.3885	40.786	0.37739	44.264	0.37537	2.3885	32.246	0.5417	34.028	0.53212
2.4416	40.878	0.37616	44.363	0.37416	2.4416	32.286	0.54064	34.068	0.53105
2.4947	40.882	0.37475	44.367	0.37275	2.4947	32.326	0.54284	34.108	0.53327
2.5478	40.909	0.37345	44.396	0.37146	2.5478	32.34	0.54487	34.123	0.53528
2.6008	40.96	0.3738	44.452	0.3718	2.6008	32.364	0.54305	34.148	0.53349
2.6539	40.962	0.37544	44.453	0.37344	2.6539	32.313	0.54276	34.095	0.53318
