Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	65.339	0.19421	0.055261	49.762	0.31838
0.11052	65.405	0.1944	0.11052	49.794	0.3178
0.16578	65.39	0.19414	0.16578	49.809	0.31792
0.22104	65.391	0.19421	0.22104	49.838	0.318
0.2763	65.378	0.1941	0.2763	49.824	0.31832
0.33156	65.417	0.19387	0.33156	49.831	0.31807
0.38683	65.413	0.19373	0.38683	49.841	0.31816
0.44209	65.422	0.19341	0.44209	49.87	0.31845
0.49735	65.476	0.19331	0.49735	49.864	0.31763
0.55261	65.499	0.19338	0.55261	49.889	0.31717
0.60787	65.509	0.1931	0.60787	49.89	0.31745
0.66313	65.548	0.19311	0.66313	49.882	0.3162
0.71839	65.566	0.19313	0.71839	49.889	0.31542
0.77365	65.541	0.19308	0.77365	49.884	0.31571
0.82891	65.624	0.19291	0.82891	49.916	0.31463
0.88417	65.628	0.19318	0.88417	49.91	0.31286
0.93943	65.626	0.19336	0.93943	49.877	0.31229
0.99469	65.626	0.1937	0.99469	49.867	0.31196
1.05	65.62	0.1936	1.05	49.859	0.31084
1.1052	65.617	0.19336	1.1052	49.874	0.31047
1.1605	65.567	0.19317	1.1605	49.868	0.31033
1.2157	65.568	0.19292	1.2157	49.882	0.30999
1.271	65.583	0.19294	1.271	49.908	0.31072
1.3263	65.539	0.19287	1.3263	49.91	0.31087
1.3815	65.519	0.19245	1.3815	49.919	0.31135
1.4368	65.53	0.19241	1.4368	49.969	0.31198
1.492	65.551	0.19233	1.492	49.996	0.31211
1.5473	65.552	0.19265	1.5473	49.986	0.31128
1.6026	65.59	0.19291	1.6026	49.999	0.31102
1.6578	65.576	0.19334	1.6578	49.971	0.31066
1.7131	65.564	0.19323	1.7131	50.007	0.31068
1.7683	65.58	0.19328	1.7683	49.972	0.31036
1.8236	65.563	0.19326	1.8236	49.979	0.30979
1.8789	65.557	0.19341	1.8789	49.971	0.30955
1.9341	65.549	0.19349	1.9341	49.974	0.30937
1.9894	65.55	0.1934	1.9894	49.967	0.30826
2.0447	65.498	0.19313	2.0447	49.962	0.30882
2.0999	65.479	0.19261	2.0999	49.967	0.30879
2.1552	65.481	0.19271	2.1552	49.942	0.30851
2.2104	65.453	0.19282	2.2104	49.931	0.30809
2.2657	65.442	0.19286	2.2657	49.916	0.30779
2.321	65.493	0.19299	2.321	49.918	0.3074
2.3762	65.472	0.19292	2.3762	49.915	0.30681
2.4315	65.447	0.19275	2.4315	49.923	0.30695
2.4867	65.425	0.19277	2.4867	49.894	0.30693
2.542	65.323	0.19204	2.542	49.863	0.30694
2.5973	65.342	0.19219	2.5973	49.815	0.30617
2.6525	65.3	0.19225	2.6525	49.778	0.30541
2.7078	65.24	0.19186	2.7078	49.775	0.30498
2.763	65.206	0.19186	2.763	49.758	0.3054
2.8183	65.215	0.19149	2.8183	49.809	0.30554
2.8736	65.206	0.19184	2.8736	49.784	0.30488
2.9288	65.239	0.19157	2.9288	49.783	0.30473
2.9841	65.338	0.19166	2.9841	49.792	0.30476
3.0393	65.36	0.19194	3.0393	49.78	0.30434
3.0946	65.365	0.19137	3.0946	49.805	0.30415
3.1499	65.417	0.19134	3.1499	49.807	0.30316
3.2051	65.429	0.19143	3.2051	49.847	0.3018
3.2604	65.435	0.19145	3.2604	49.86	0.30124
3.3156	65.441	0.1916	3.3156	49.871	0.30139
3.3709	65.486	0.19185	3.3709	49.883	0.30163
3.4262	65.516	0.19215	3.4262	49.867	0.30104
3.4814	65.564	0.19198	3.4814	49.865	0.30082
3.5367	65.601	0.19215	3.5367	49.859	0.30031
3.592	65.616	0.19219	3.592	49.854	0.30049
3.6472	65.633	0.19244	3.6472	49.87	0.30016
3.7025	65.658	0.19284	3.7025	49.864	0.29924
3.7577	65.641	0.19289	3.7577	49.85	0.29887
3.813	65.646	0.1924	3.813	49.832	0.29896
3.8683	65.694	0.19209	3.8683	49.876	0.29887
3.9235	65.667	0.19229	3.9235	49.87	0.2983
3.9788	65.639	0.19221	3.9788	49.855	0.29803
4.034	65.661	0.19202	4.034	49.868	0.29841
4.0893	65.671	0.19189	4.0893	49.896	0.2983
4.1446	65.673	0.19203	4.1446	49.936	0.29756
4.1998	65.672	0.19176	4.1998	49.936	0.29821
4.2551	65.679	0.19178	4.2551	49.951	0.29752
4.3103	65.69	0.19143	4.3103	50.005	0.29697
4.3656	65.662	0.19118	4.3656	49.995	0.29709
4.4209	65.698	0.19095	4.4209	50.016	0.29704
4.4761	65.73	0.19086	4.4761	50.032	0.2968
4.5314	65.76	0.19075	4.5314	50.036	0.29715
4.5866	65.785	0.1905	4.5866	50.027	0.29739
4.6419	65.76	0.18993	4.6419	50.013	0.29744
4.6972	65.711	0.18936	4.6972	50.035	0.29717
4.7524	65.681	0.18902	4.7524	50.02	0.29804
4.8077	65.7	0.18899	4.8077	50.036	0.29651
4.863	65.737	0.18891	4.863	50.095	0.29574
4.9182	65.791	0.18887	4.9182	50.118	0.29489
4.9735	65.78	0.18883	4.9735	50.122	0.29586
5.0287	65.802	0.18857	5.0287	50.161	0.29525
5.084	65.793	0.18876	5.084	50.136	0.29479
5.1393	65.8	0.18853	5.1393	50.173	0.29301
5.1945	65.86	0.18827	5.1945	50.261	0.29312
5.2498	65.875	0.18829	5.2498	50.289	0.29247
5.305	65.902	0.18852	5.305	50.335	0.29131
5.3603	65.908	0.18863	5.3603	50.36	0.29114
5.4156	65.941	0.18855	5.4156	50.404	0.29072
5.4708	65.96	0.18858	5.4708	50.44	0.28989
5.5261	65.985	0.18857	5.5261	50.386	0.2916
5.5813	65.991	0.18884	5.5813	50.414	0.2906
5.6366	66.019	0.18859	5.6366	50.488	0.29027
5.6919	66.03	0.18888	5.6919	50.478	0.29074
5.7471	66.038	0.18888	5.7471	50.495	0.29023
5.8024	66.078	0.1885	5.8024	50.551	0.29058
5.8576	66.101	0.18861	5.8576	50.546	0.29083
5.9129	66.113	0.18858	5.9129	50.575	0.29049
5.9682	66.116	0.18858	5.9682	50.601	0.29066
6.0234	66.092	0.18852	6.0234	50.633	0.29047
6.0787	66.135	0.18847	6.0787	50.656	0.29054
6.134	66.107	0.18842	6.134	50.658	0.28993
6.1892	66.144	0.18826	6.1892	50.656	0.28998
6.2445	66.202	0.18818	6.2445	50.68	0.29019
6.2997	66.194	0.1886	6.2997	50.664	0.28999
6.355	66.223	0.18864	6.355	50.61	0.28942
6.4103	66.226	0.18856	6.4103	50.609	0.2882
6.4655	66.227	0.18813	6.4655	50.628	0.28833
6.5208	66.264	0.18813	6.5208	50.638	0.28878
6.576	66.258	0.18865	6.576	50.614	0.28706
6.6313	66.278	0.18926	6.6313	50.662	0.28702
6.6866	66.26	0.18947	6.6866	50.651	0.28646
6.7418	66.27	0.18918	6.7418	50.661	0.28661
6.7971	66.24	0.18916	6.7971	50.589	0.2858
6.8523	66.314	0.18919	6.8523	50.599	0.28576
6.9076	66.285	0.18929	6.9076	50.587	0.28533
6.9629	66.329	0.18917	6.9629	50.603	0.28547
7.0181	66.3	0.18879	7.0181	50.564	0.28613
7.0734	66.351	0.18813	7.0734	50.563	0.28714
7.1286	66.373	0.18816	7.1286	50.55	0.28676
7.1839	66.354	0.18806	7.1839	50.528	0.2862
7.2392	66.36	0.18807	7.2392	50.463	0.28714
7.2944	66.396	0.18792	7.2944	50.497	0.28601
7.3497	66.414	0.18829	7.3497	50.518	0.28713
7.405	66.415	0.18893	7.405	50.494	0.28563
7.4602	66.441	0.18889	7.4602	50.518	0.28591
7.5155	66.456	0.18923	7.5155	50.542	0.28497
7.5707	66.471	0.1889	7.5707	50.576	0.28557
7.626	66.489	0.18942	7.626	50.561	0.28484
7.6813	66.528	0.18917	7.6813	50.621	0.28461
7.7365	66.515	0.18953	7.7365	50.617	0.28445
