Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.056935	61.487	0.36168	62.646	0.32882	0.056935	47.233	0.51547
0.11387	61.477	0.36195	62.633	0.32908	0.11387	47.233	0.51545
0.1708	61.523	0.36175	62.677	0.32893	0.1708	47.26	0.51481
0.22774	61.506	0.36136	62.658	0.32856	0.22774	47.263	0.51491
0.28467	61.527	0.36131	62.677	0.32854	0.28467	47.255	0.51495
0.34161	61.518	0.36138	62.663	0.32862	0.34161	47.257	0.51496
0.39854	61.518	0.36149	62.66	0.32874	0.39854	47.272	0.51456
0.45548	61.555	0.3613	62.695	0.3286	0.45548	47.288	0.51412
0.51241	61.518	0.36153	62.653	0.32883	0.51241	47.274	0.51417
0.56935	61.529	0.36157	62.663	0.32888	0.56935	47.291	0.51378
0.62628	61.521	0.36159	62.653	0.3289	0.62628	47.305	0.51345
0.68322	61.519	0.36178	62.646	0.3291	0.68322	47.385	0.51267
0.74015	61.5	0.36204	62.623	0.32936	0.74015	47.366	0.51273
0.79708	61.496	0.36207	62.617	0.32938	0.79708	47.391	0.51295
0.85402	61.481	0.36234	62.597	0.32967	0.85402	47.287	0.51345
0.91095	61.458	0.36244	62.57	0.32976	0.91095	47.261	0.51416
0.96789	61.454	0.36277	62.562	0.3301	0.96789	47.241	0.51447
1.0248	61.447	0.36262	62.554	0.32995	1.0248	47.244	0.51463
1.0818	61.439	0.36282	62.544	0.33015	1.0818	47.279	0.51486
1.1387	61.435	0.36301	62.537	0.33035	1.1387	47.247	0.51534
1.1956	61.42	0.36318	62.519	0.33053	1.1956	47.206	0.51591
1.2526	61.318	0.36361	62.409	0.33091	1.2526	47.145	0.51775
1.3095	61.332	0.364	62.413	0.33134	1.3095	47.098	0.51844
1.3664	61.414	0.36353	62.498	0.33091	1.3664	47.178	0.51676
1.4234	61.404	0.36342	62.492	0.33079	1.4234	47.295	0.51594
1.4803	61.391	0.36387	62.478	0.33124	1.4803	47.342	0.51507
1.5372	61.375	0.3638	62.459	0.33116	1.5372	47.358	0.51593
1.5942	61.368	0.36442	62.446	0.33181	1.5942	47.315	0.51674
1.6511	61.357	0.36371	62.431	0.33113	1.6511	47.282	0.51658
1.708	61.404	0.36316	62.479	0.33061	1.708	47.37	0.51649
1.765	61.36	0.36405	62.428	0.33149	1.765	47.357	0.51632
1.8219	61.358	0.3637	62.424	0.33115	1.8219	47.366	0.51576
1.8788	61.382	0.3631	62.449	0.33056	1.8788	47.488	0.51543
1.9358	61.366	0.36365	62.429	0.33111	1.9358	47.468	0.51551
1.9927	61.34	0.36376	62.399	0.3312	1.9927	47.448	0.51589
2.0496	61.397	0.36405	62.455	0.3315	2.0496	47.424	0.51563
2.1066	61.375	0.36445	62.429	0.33192	2.1066	47.405	0.51521
2.1635	61.377	0.36394	62.429	0.33143	2.1635	47.433	0.5154
2.2205	61.35	0.36422	62.398	0.33168	2.2205	47.441	0.51632
2.2774	61.434	0.36396	62.48	0.33148	2.2774	47.462	0.51492
2.3343	61.463	0.36341	62.509	0.33096	2.3343	47.555	0.51481
2.3913	61.401	0.36434	62.439	0.33186	2.3913	47.461	0.51588
2.4482	61.345	0.36427	62.377	0.33179	2.4482	47.469	0.51637
2.5051	61.403	0.36384	62.436	0.33138	2.5051	47.535	0.5159
2.5621	61.426	0.36363	62.458	0.33121	2.5621	47.586	0.51535
2.619	61.433	0.36352	62.466	0.33108	2.619	47.626	0.5156
2.6759	61.396	0.364	62.423	0.33154	2.6759	47.606	0.51626
2.7329	61.414	0.3645	62.436	0.33203	2.7329	47.58	0.51714
2.7898	61.566	0.36416	62.591	0.33177	2.7898	47.646	0.51511
2.8467	61.515	0.36472	62.536	0.33228	2.8467	47.655	0.51448
2.9037	61.503	0.365	62.521	0.33256	2.9037	47.641	0.51473
2.9606	61.532	0.36515	62.546	0.33273	2.9606	47.675	0.51443
3.0175	61.621	0.36486	62.634	0.33252	3.0175	47.716	0.51324
3.0745	61.565	0.36478	62.574	0.33241	3.0745	47.753	0.51326
3.1314	61.546	0.36474	62.552	0.33236	3.1314	47.786	0.51362
3.1883	61.598	0.3648	62.603	0.33244	3.1883	47.803	0.51301
3.2453	61.586	0.3651	62.587	0.33275	3.2453	47.809	0.51339
3.3022	61.586	0.36541	62.584	0.33307	3.3022	47.796	0.51339
3.3591	61.593	0.36509	62.588	0.33276	3.3591	47.793	0.51387
3.4161	61.583	0.36577	62.574	0.33343	3.4161	47.777	0.51334
3.473	61.56	0.36521	62.549	0.33287	3.473	47.801	0.51424
3.5299	61.55	0.36616	62.536	0.3338	3.5299	47.795	0.51417
3.5869	61.546	0.36604	62.527	0.33369	3.5869	47.791	0.51455
3.6438	61.572	0.36639	62.547	0.33408	3.6438	47.793	0.51411
3.7008	61.532	0.36613	62.503	0.33381	3.7008	47.804	0.51494
3.7577	61.536	0.36667	62.503	0.33434	3.7577	47.774	0.5154
3.8146	61.584	0.36691	62.553	0.3346	3.8146	47.794	0.51404
3.8716	61.562	0.36664	62.529	0.33431	3.8716	47.844	0.51445
3.9285	61.56	0.36715	62.521	0.33484	3.9285	47.844	0.51452
3.9854	61.529	0.36697	62.488	0.33466	3.9854	47.786	0.5153
4.0424	61.594	0.3666	62.55	0.33434	4.0424	47.809	0.51521
4.0993	61.597	0.36651	62.552	0.33426	4.0993	47.859	0.51488
4.1562	61.515	0.36755	62.469	0.33525	4.1562	47.746	0.516
