Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.055261	63.263	0.22466
0.11052	63.306	0.2241
0.16578	63.338	0.22365
0.22104	63.379	0.22362
0.2763	63.403	0.22286
0.33156	63.461	0.22221
0.38683	63.48	0.22236
0.44209	63.489	0.22199
0.49735	63.531	0.22192
0.55261	63.545	0.22158
0.60787	63.585	0.22172
0.66313	63.604	0.2211
0.71839	63.629	0.22081
0.77365	63.675	0.22137
0.82891	63.689	0.22076
0.88417	63.729	0.22028
0.93943	63.741	0.22076
0.99469	63.764	0.22067
1.05	63.824	0.22027
1.1052	63.859	0.22044
1.1605	63.886	0.22011
1.2157	63.926	0.2198
1.271	63.949	0.22012
1.3263	63.947	0.22017
1.3815	64.012	0.21962
1.4368	64.069	0.21938
1.492	64.133	0.21864
1.5473	64.204	0.21851
1.6026	64.244	0.21794
1.6578	64.28	0.21795
1.7131	64.304	0.21768
1.7683	64.35	0.21707
1.8236	64.381	0.21678
1.8789	64.408	0.21651
1.9341	64.445	0.21581
1.9894	64.493	0.2158
2.0447	64.518	0.21552
2.0999	64.542	0.21559
2.1552	64.563	0.21521
2.2104	64.605	0.21493
2.2657	64.636	0.21439
2.321	64.647	0.21351
2.3762	64.68	0.21565
2.4315	64.742	0.21528
2.4867	64.756	0.21508
2.542	64.794	0.21476
2.5973	64.813	0.21456
2.6525	64.89	0.21422
2.7078	64.921	0.21476
2.763	64.98	0.21418
2.8183	65.017	0.2139
2.8736	65.043	0.21345
2.9288	65.093	0.21262
2.9841	65.113	0.21285
3.0393	65.126	0.21252
3.0946	65.192	0.21291
3.1499	65.232	0.21282
3.2051	65.281	0.21267
3.2604	65.343	0.21285
3.3156	65.4	0.21273
3.3709	65.444	0.21254
3.4262	65.499	0.21277
3.4814	65.507	0.21272
3.5367	65.612	0.21288
3.592	65.628	0.21299
3.6472	65.637	0.21227
3.7025	65.702	0.2122
3.7577	65.739	0.21244
3.813	65.781	0.21217
3.8683	65.844	0.21207
3.9235	65.865	0.21175
3.9788	65.89	0.21177
4.034	65.93	0.21138
4.0893	65.963	0.21121
4.1446	65.998	0.2118
4.1998	66.01	0.21142
4.2551	66.043	0.21103
4.3103	66.108	0.21093
4.3656	66.125	0.21096
4.4209	66.161	0.21069
