Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Fascicle Length R1_F3	Pennation Angle R1_F3	
0.055261	58.97	0.26546	61.312	0.26762	59.935	0.24283
0.11052	59.025	0.26605	61.369	0.2682	59.99	0.24341
0.16578	59.073	0.26604	61.419	0.2682	60.041	0.24339
0.22104	59.054	0.26618	61.399	0.26834	60.02	0.2435
0.2763	59.073	0.26631	61.419	0.26847	60.039	0.24361
0.33156	59.09	0.26632	61.437	0.26848	60.054	0.24362
0.38683	59.105	0.26646	61.453	0.26862	60.069	0.24372
0.44209	59.133	0.26743	61.482	0.26959	60.095	0.24466
0.49735	59.165	0.26728	61.516	0.26944	60.126	0.24455
0.55261	59.168	0.26619	61.519	0.26835	60.129	0.24348
0.60787	59.202	0.26408	61.554	0.26623	60.162	0.24141
0.66313	59.229	0.26274	61.583	0.26489	60.185	0.24013
0.71839	59.272	0.26317	61.628	0.26532	60.223	0.24058
0.77365	59.317	0.26262	61.675	0.26476	60.266	0.24007
0.82891	59.381	0.26264	61.741	0.26478	60.326	0.24017
0.88417	59.419	0.26229	61.782	0.26442	60.36	0.23986
0.93943	59.427	0.261	61.791	0.26314	60.368	0.23858
0.99469	59.452	0.26079	61.816	0.26293	60.388	0.23836
1.05	59.488	0.25974	61.855	0.26187	60.422	0.23731
1.1052	59.518	0.25947	61.886	0.2616	60.449	0.23702
1.1605	59.584	0.25915	61.955	0.26128	60.513	0.23674
1.2157	59.57	0.25812	61.94	0.26025	60.499	0.23571
1.271	59.562	0.25683	61.932	0.25896	60.492	0.23438
1.3263	59.617	0.25671	61.989	0.25884	60.544	0.23428
1.3815	59.636	0.25557	62.009	0.25769	60.564	0.2332
1.4368	59.677	0.25512	62.052	0.25724	60.603	0.23281
1.492	59.675	0.25432	62.05	0.25643	60.6	0.23212
1.5473	59.65	0.2527	62.024	0.2548	60.575	0.23056
1.6026	59.666	0.25149	62.041	0.25358	60.589	0.22944
1.6578	59.66	0.25087	62.035	0.25295	60.582	0.2289
1.7131	59.657	0.25005	62.032	0.25213	60.577	0.22819
1.7683	59.62	0.24839	61.994	0.25046	60.54	0.22664
1.8236	59.608	0.24725	61.981	0.24931	60.528	0.22558
1.8789	59.582	0.24611	61.954	0.24816	60.501	0.22453
1.9341	59.607	0.24566	61.98	0.2477	60.525	0.22423
1.9894	59.658	0.24516	62.033	0.24718	60.573	0.22394
2.0447	59.647	0.24404	62.022	0.24604	60.556	0.22294
2.0999	59.657	0.24345	62.033	0.24545	60.563	0.2224
2.1552	59.68	0.24357	62.057	0.24556	60.582	0.2226
2.2104	59.739	0.24189	62.119	0.24386	60.64	0.22106
2.2657	59.74	0.24025	62.12	0.24222	60.639	0.21949
2.321	59.763	0.24018	62.145	0.24215	60.66	0.21948
2.3762	59.786	0.23943	62.168	0.2414	60.682	0.21876
2.4315	59.84	0.2407	62.225	0.24266	60.73	0.22005
2.4867	59.882	0.24143	62.269	0.24339	60.768	0.2208
2.542	59.869	0.24035	62.255	0.24231	60.753	0.21974
2.5973	59.838	0.24003	62.224	0.24198	60.72	0.2194
2.6525	59.904	0.24155	62.293	0.24351	60.781	0.22095
2.7078	59.895	0.24083	62.284	0.24279	60.771	0.22027
2.763	59.891	0.2404	62.28	0.24235	60.763	0.21983
2.8183	59.941	0.24065	62.332	0.2426	60.812	0.22011
2.8736	59.916	0.24067	62.306	0.24262	60.784	0.22013
2.9288	59.939	0.24122	62.33	0.24317	60.803	0.22068
2.9841	59.94	0.24085	62.332	0.2428	60.803	0.22035
3.0393	59.932	0.23875	62.323	0.24069	60.795	0.21832
3.0946	59.956	0.23902	62.349	0.24095	60.816	0.21861
3.1499	60.028	0.23884	62.424	0.24077	60.886	0.21846
3.2051	60.006	0.23819	62.401	0.24012	60.862	0.21785
3.2604	60.038	0.23655	62.434	0.23847	60.894	0.2163
3.3156	60.009	0.23585	62.404	0.23776	60.864	0.21563
3.3709	60.003	0.23585	62.398	0.23777	60.853	0.21565
3.4262	60.05	0.2356	62.447	0.23751	60.898	0.21545
3.4814	60.031	0.23533	62.428	0.23725	60.877	0.21517
3.5367	60.026	0.23462	62.423	0.23653	60.87	0.21445
3.592	60.047	0.23574	62.445	0.23766	60.888	0.21555
3.6472	60.04	0.2357	62.438	0.23761	60.879	0.21552
3.7025	60.09	0.23596	62.49	0.23788	60.927	0.21579
3.7577	60.055	0.23674	62.455	0.23866	60.888	0.2165
3.813	60.116	0.23793	62.518	0.23985	60.946	0.21766
3.8683	60.132	0.23905	62.535	0.24097	60.96	0.21876
3.9235	60.162	0.23898	62.567	0.24091	60.99	0.21868
3.9788	60.159	0.2391	62.563	0.24102	60.984	0.21879
4.034	60.156	0.23974	62.561	0.24167	60.98	0.21944
4.0893	60.148	0.23967	62.552	0.24159	60.972	0.21937
4.1446	60.117	0.23944	62.52	0.24136	60.94	0.21917
4.1998	60.127	0.23839	62.531	0.24031	60.947	0.21816
4.2551	60.174	0.2392	62.579	0.24112	60.99	0.219
4.3103	60.165	0.23765	62.571	0.23956	60.981	0.21749
4.3656	60.121	0.23718	62.526	0.23909	60.935	0.21701
4.4209	60.139	0.23631	62.544	0.23822	60.951	0.21616
4.4761	60.155	0.23611	62.561	0.23801	60.965	0.21599
4.5314	60.165	0.23586	62.571	0.23776	60.973	0.21575
4.5866	60.167	0.23575	62.574	0.23766	60.974	0.21565
4.6419	60.161	0.23539	62.567	0.23729	60.965	0.21527
4.6972	60.131	0.23546	62.537	0.23736	60.932	0.21534
4.7524	60.084	0.23538	62.488	0.23729	60.882	0.21524
4.8077	60.126	0.23556	62.532	0.23747	60.919	0.21541
4.863	60.152	0.23607	62.559	0.23797	60.942	0.21592
4.9182	60.159	0.23635	62.567	0.23826	60.947	0.21619
4.9735	60.128	0.23677	62.535	0.23869	60.914	0.2166
5.0287	60.128	0.2369	62.535	0.23881	60.912	0.2167
5.084	60.113	0.23705	62.52	0.23896	60.895	0.21684
5.1393	60.114	0.2366	62.521	0.23852	60.896	0.21639
5.1945	60.107	0.23617	62.514	0.23809	60.89	0.21598
5.2498	60.114	0.23534	62.52	0.23725	60.897	0.21519
5.305	60.1	0.23508	62.506	0.23699	60.883	0.21493
5.3603	60.094	0.23465	62.5	0.23656	60.876	0.21451
5.4156	60.063	0.23476	62.467	0.23667	60.845	0.21461
5.4708	60.084	0.2352	62.49	0.23711	60.866	0.21504
5.5261	60.142	0.23579	62.55	0.23771	60.923	0.21561
5.5813	60.137	0.23602	62.544	0.23793	60.917	0.21581
5.6366	60.137	0.23623	62.545	0.23814	60.917	0.21602
5.6919	60.115	0.23601	62.522	0.23793	60.894	0.21579
5.7471	60.126	0.23572	62.534	0.23764	60.906	0.21548
5.8024	60.147	0.23702	62.556	0.23894	60.926	0.21675
5.8576	60.179	0.23679	62.589	0.23871	60.958	0.21653
5.9129	60.233	0.23746	62.645	0.23938	61.012	0.2172
5.9682	60.241	0.23771	62.653	0.23963	61.02	0.21744
6.0234	60.237	0.23753	62.649	0.23945	61.016	0.21726
6.0787	60.265	0.2375	62.678	0.23942	61.046	0.21725
6.134	60.245	0.23663	62.657	0.23854	61.028	0.21637
6.1892	60.278	0.23759	62.692	0.23951	61.061	0.21732
6.2445	60.264	0.23772	62.677	0.23964	61.048	0.21747
6.2997	60.263	0.2369	62.676	0.23881	61.05	0.21665
6.355	60.308	0.23664	62.722	0.23855	61.097	0.21639
6.4103	60.31	0.23681	62.724	0.23874	61.101	0.21653
6.4655	60.311	0.23777	62.725	0.2397	61.102	0.21743
6.5208	60.345	0.23879	62.76	0.24072	61.137	0.21844
6.576	60.346	0.23868	62.761	0.24061	61.141	0.2183
6.6313	60.364	0.23846	62.78	0.24039	61.162	0.2181
6.6866	60.408	0.23779	62.825	0.23972	61.209	0.21747
6.7418	60.346	0.23705	62.76	0.23898	61.15	0.21672
6.7971	60.356	0.23697	62.77	0.2389	61.164	0.21661
6.8523	60.353	0.237	62.768	0.23894	61.162	0.21654
6.9076	60.386	0.23812	62.802	0.24007	61.194	0.21758
6.9629	60.404	0.23863	62.821	0.24058	61.214	0.21806
7.0181	60.394	0.23975	62.81	0.2417	61.205	0.21919
7.0734	60.45	0.24088	62.868	0.24283	61.262	0.2203
7.1286	60.421	0.24056	62.837	0.24251	61.236	0.21997
7.1839	60.434	0.24023	62.851	0.24218	61.253	0.21964
7.2392	60.45	0.24045	62.867	0.2424	61.271	0.21984
7.2944	60.457	0.24177	62.874	0.24373	61.278	0.22113
7.3497	60.436	0.24228	62.852	0.24423	61.258	0.22164
7.405	60.441	0.24263	62.858	0.24459	61.265	0.22195
7.4602	60.443	0.24302	62.86	0.24499	61.267	0.22231
7.5155	60.427	0.24365	62.843	0.24561	61.252	0.22289
7.5707	60.449	0.24392	62.865	0.24589	61.274	0.22318
