Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.055261	54.748	0.29053	50.097	0.3251	0.055261	34.859	0.52895	36.881	0.52022
0.11052	54.733	0.29104	52.973	0.30519	0.11052	35.804	0.50985	37.594	0.50259
0.16578	54.76	0.2907	53	0.30481	0.16578	35.822	0.50937	37.613	0.50211
0.22104	54.778	0.29052	53.018	0.30462	0.22104	35.85	0.50873	37.642	0.50148
0.2763	54.746	0.29096	52.987	0.30506	0.2763	35.824	0.50875	37.614	0.5015
0.33156	54.768	0.29077	53.008	0.30487	0.33156	35.873	0.50852	37.665	0.50128
0.38683	54.779	0.29145	53.021	0.30553	0.38683	35.854	0.50745	37.646	0.50021
0.44209	54.798	0.29071	53.04	0.30477	0.44209	35.875	0.50693	37.668	0.4997
0.49735	54.782	0.29081	53.025	0.30488	0.49735	35.903	0.50691	37.696	0.49969
0.55261	54.794	0.29077	53.037	0.30484	0.55261	35.928	0.50663	37.722	0.49943
0.60787	54.797	0.2914	53.043	0.30547	0.60787	35.917	0.50627	37.71	0.49907
0.66313	54.814	0.29051	53.059	0.30456	0.66313	35.956	0.50601	37.751	0.49883
0.71839	54.87	0.291	53.115	0.30503	0.71839	35.97	0.50501	37.765	0.49783
0.77365	54.849	0.29069	53.095	0.30471	0.77365	35.99	0.50536	37.785	0.49819
0.82891	54.876	0.2912	53.123	0.30521	0.82891	35.985	0.50468	37.78	0.49751
0.88417	54.922	0.29053	53.168	0.30452	0.88417	36.007	0.50438	37.802	0.49722
0.93943	54.962	0.29041	53.209	0.3044	0.93943	36.041	0.50419	37.838	0.49705
0.99469	54.953	0.29092	53.2	0.30492	0.99469	36.044	0.5045	37.841	0.49735
1.05	55.004	0.29141	53.252	0.30538	1.05	36.035	0.50292	37.831	0.49577
1.1052	54.994	0.29109	53.243	0.30506	1.1052	36.085	0.50368	37.882	0.49655
1.1605	55.002	0.29182	53.253	0.30581	1.1605	36.109	0.50329	37.907	0.49616
1.2157	55.028	0.29247	53.281	0.30645	1.2157	36.119	0.50244	37.918	0.49531
1.271	55.033	0.29281	53.286	0.30678	1.271	36.14	0.50203	37.939	0.4949
1.3263	55.063	0.29303	53.317	0.30699	1.3263	36.186	0.50117	37.987	0.49405
1.3815	55.077	0.29327	53.331	0.30723	1.3815	36.186	0.50043	37.987	0.49331
1.4368	55.074	0.29285	53.329	0.30679	1.4368	36.223	0.50087	38.025	0.49376
1.492	55.092	0.29278	53.347	0.30672	1.492	36.231	0.50035	38.033	0.49326
1.5473	55.095	0.29214	53.35	0.30606	1.5473	36.28	0.50016	38.084	0.49308
1.6026	55.105	0.29216	53.359	0.30607	1.6026	36.309	0.49984	38.115	0.49276
1.6578	55.123	0.29223	53.377	0.30611	1.6578	36.323	0.49892	38.129	0.49184
1.7131	55.11	0.29181	53.366	0.30566	1.7131	36.315	0.49823	38.12	0.49116
1.7683	55.129	0.29139	53.385	0.30522	1.7683	36.326	0.49744	38.132	0.49038
1.8236	55.127	0.29129	53.382	0.30514	1.8236	36.348	0.49814	38.155	0.49108
1.8789	55.122	0.29091	53.377	0.30477	1.8789	36.393	0.49831	38.202	0.49127
1.9341	55.161	0.29136	53.417	0.30518	1.9341	36.379	0.49627	38.186	0.48923
1.9894	55.166	0.29037	53.421	0.30418	1.9894	36.404	0.49678	38.213	0.48976
2.0447	55.186	0.29051	53.441	0.3043	2.0447	36.4	0.49508	38.208	0.48806
2.0999	55.187	0.29056	53.443	0.30435	2.0999	36.425	0.49464	38.234	0.48765
2.1552	55.184	0.291	53.441	0.30481	2.1552	36.435	0.49424	38.244	0.48725
2.2104	55.196	0.29138	53.455	0.3052	2.2104	36.446	0.49344	38.256	0.48646
2.2657	55.195	0.29126	53.454	0.30508	2.2657	36.469	0.49436	38.279	0.48739
2.321	55.184	0.29225	53.444	0.3061	2.321	36.442	0.49417	38.251	0.48719
2.3762	55.193	0.29265	53.455	0.3065	2.3762	36.443	0.495	38.251	0.48802
2.4315	55.195	0.2927	53.458	0.30656	2.4315	36.472	0.49514	38.281	0.48817
2.4867	55.227	0.29278	53.489	0.30664	2.4867	36.504	0.49411	38.314	0.48715
2.542	55.222	0.29339	53.487	0.30725	2.542	36.495	0.49412	38.305	0.48717
2.5973	55.232	0.29297	53.497	0.30683	2.5973	36.508	0.49436	38.318	0.48741
2.6525	55.257	0.29321	53.524	0.30707	2.6525	36.516	0.49383	38.326	0.48689
2.7078	55.257	0.29291	53.524	0.30677	2.7078	36.582	0.49394	38.393	0.48703
2.763	55.288	0.29354	53.556	0.3074	2.763	36.56	0.49344	38.37	0.48654
2.8183	55.31	0.29227	53.576	0.30612	2.8183	36.615	0.49488	38.427	0.48799
2.8736	55.332	0.29236	53.599	0.3062	2.8736	36.633	0.49442	38.445	0.48754
2.9288	55.336	0.29219	53.603	0.30605	2.9288	36.654	0.49449	38.468	0.48763
2.9841	55.375	0.29223	53.642	0.30607	2.9841	36.687	0.49374	38.502	0.48689
3.0393	55.38	0.29218	53.647	0.30602	3.0393	36.709	0.49373	38.524	0.48688
3.0946	55.398	0.29269	53.665	0.30654	3.0946	36.721	0.49338	38.537	0.48653
3.1499	55.424	0.29301	53.691	0.30685	3.1499	36.723	0.49307	38.538	0.48622
3.2051	55.417	0.29279	53.685	0.30662	3.2051	36.722	0.4933	38.537	0.48645
3.2604	55.45	0.29306	53.718	0.30689	3.2604	36.725	0.49288	38.54	0.48603
3.3156	55.465	0.29288	53.734	0.30671	3.3156	36.737	0.49288	38.553	0.48605
3.3709	55.467	0.29321	53.736	0.30703	3.3709	36.741	0.49216	38.557	0.48533
3.4262	55.496	0.29279	53.765	0.3066	3.4262	36.771	0.49166	38.589	0.48484
3.4814	55.476	0.29339	53.746	0.30721	3.4814	36.76	0.49188	38.577	0.48506
3.5367	55.491	0.29341	53.762	0.30723	3.5367	36.775	0.49148	38.592	0.48467
3.592	55.496	0.29346	53.767	0.30727	3.592	36.787	0.49102	38.605	0.48422
3.6472	55.511	0.29349	53.783	0.3073	3.6472	36.792	0.49096	38.61	0.48416
3.7025	55.516	0.29333	53.788	0.30714	3.7025	36.824	0.4908	38.642	0.48401
3.7577	55.517	0.2934	53.789	0.30719	3.7577	36.86	0.48999	38.679	0.48322
3.813	55.516	0.29318	53.789	0.30699	3.813	36.876	0.49053	38.696	0.48377
3.8683	55.534	0.29382	53.807	0.30763	3.8683	36.89	0.48967	38.71	0.48291
3.9235	55.553	0.29363	53.827	0.30743	3.9235	36.91	0.4893	38.731	0.48255
3.9788	55.573	0.29323	53.846	0.30703	3.9788	36.958	0.48957	38.781	0.48283
4.034	55.591	0.29349	53.865	0.3073	4.034	36.997	0.48934	38.82	0.48261
4.0893	55.647	0.29429	53.92	0.30809	4.0893	36.998	0.48768	38.822	0.48096
4.1446	55.655	0.29377	53.929	0.30757	4.1446	37.054	0.48788	38.88	0.48119
4.1998	55.709	0.29345	53.983	0.30722	4.1998	37.073	0.48706	38.899	0.48037
