Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	53.791	0.2144	56.361	0.19297	0.055261	44.36	0.39736
0.11052	57.9	0.2047	56.36	0.19311	0.11052	44.361	0.39685
0.16578	57.913	0.20452	56.371	0.19293	0.16578	44.355	0.39677
0.22104	57.913	0.20454	56.371	0.19296	0.22104	44.381	0.39665
0.2763	57.931	0.20505	56.388	0.19346	0.2763	44.409	0.39598
0.33156	57.943	0.20541	56.397	0.19383	0.33156	44.399	0.39591
0.38683	58.001	0.20581	56.451	0.19424	0.38683	44.437	0.39547
0.44209	58.001	0.20592	56.45	0.19434	0.44209	44.45	0.3958
0.49735	58.012	0.20586	56.458	0.1943	0.49735	44.429	0.39569
0.55261	58.074	0.20562	56.517	0.19407	0.55261	44.509	0.39623
0.60787	58.038	0.20571	56.482	0.19417	0.60787	44.464	0.3957
0.66313	58.067	0.20609	56.508	0.19455	0.66313	44.485	0.39546
0.71839	58.082	0.20606	56.522	0.19452	0.71839	44.494	0.39536
0.77365	58.145	0.20587	56.58	0.19435	0.77365	44.57	0.39525
0.82891	58.157	0.2063	56.591	0.19478	0.82891	44.571	0.39462
0.88417	58.179	0.20727	56.611	0.19574	0.88417	44.564	0.39347
0.93943	58.191	0.20752	56.621	0.19599	0.93943	44.586	0.39314
0.99469	58.193	0.20822	56.622	0.19669	0.99469	44.542	0.39255
1.05	58.24	0.20827	56.667	0.19676	1.05	44.593	0.39232
1.1052	58.245	0.20868	56.67	0.19718	1.1052	44.579	0.39214
1.1605	58.298	0.20854	56.72	0.19705	1.1605	44.59	0.39196
1.2157	58.339	0.20883	56.759	0.19736	1.2157	44.605	0.39111
1.271	58.34	0.20957	56.758	0.19809	1.271	44.571	0.39096
1.3263	58.247	0.21011	56.667	0.19861	1.3263	44.507	0.3902
1.3815	58.305	0.21003	56.722	0.19856	1.3815	44.518	0.39038
1.4368	58.331	0.21023	56.747	0.19877	1.4368	44.509	0.39111
1.492	58.329	0.20985	56.743	0.1984	1.492	44.524	0.39089
1.5473	58.386	0.20991	56.797	0.19847	1.5473	44.553	0.39098
1.6026	58.384	0.2101	56.794	0.19866	1.6026	44.543	0.39073
1.6578	58.399	0.20984	56.808	0.1984	1.6578	44.558	0.39056
1.7131	58.348	0.21029	56.758	0.19884	1.7131	44.529	0.39074
1.7683	58.401	0.21022	56.808	0.19878	1.7683	44.575	0.39026
1.8236	58.412	0.2108	56.818	0.19936	1.8236	44.584	0.38951
1.8789	58.379	0.21136	56.784	0.1999	1.8789	44.56	0.38863
1.9341	58.404	0.21122	56.808	0.19978	1.9341	44.57	0.38848
1.9894	58.467	0.21117	56.868	0.19975	1.9894	44.626	0.38798
2.0447	58.483	0.21076	56.884	0.19935	2.0447	44.666	0.38763
2.0999	58.492	0.21113	56.89	0.19972	2.0999	44.657	0.38742
2.1552	58.512	0.21111	56.908	0.1997	2.1552	44.685	0.38637
2.2104	58.494	0.21117	56.891	0.19975	2.2104	44.66	0.38642
2.2657	58.462	0.21097	56.858	0.19953	2.2657	44.622	0.38587
2.321	58.492	0.21035	56.887	0.19894	2.321	44.652	0.38751
2.3762	58.48	0.21056	56.874	0.19914	2.3762	44.634	0.3872
2.4315	58.5	0.21079	56.893	0.19939	2.4315	44.655	0.38662
2.4867	58.499	0.21076	56.891	0.19937	2.4867	44.642	0.38567
2.542	58.514	0.21081	56.905	0.19943	2.542	44.628	0.38586
2.5973	58.518	0.21117	56.907	0.1998	2.5973	44.609	0.38554
2.6525	58.555	0.21059	56.942	0.19923	2.6525	44.656	0.38477
2.7078	58.556	0.21165	56.941	0.20028	2.7078	44.619	0.3855
2.763	58.51	0.21148	56.896	0.20011	2.763	44.608	0.38528
2.8183	58.542	0.21153	56.925	0.20017	2.8183	44.613	0.38521
2.8736	58.547	0.21113	56.929	0.19978	2.8736	44.622	0.38492
2.9288	58.561	0.21121	56.942	0.19987	2.9288	44.647	0.38541
2.9841	58.552	0.21167	56.931	0.20032	2.9841	44.621	0.38475
3.0393	58.574	0.21209	56.951	0.20074	3.0393	44.623	0.38387
3.0946	58.562	0.21231	56.939	0.20095	3.0946	44.618	0.38386
3.1499	58.579	0.21296	56.954	0.20159	3.1499	44.656	0.38372
3.2051	58.581	0.21385	56.954	0.20245	3.2051	44.643	0.38297
3.2604	58.627	0.21378	56.998	0.2024	3.2604	44.663	0.38326
3.3156	58.618	0.21442	56.988	0.20303	3.3156	44.663	0.38197
3.3709	58.62	0.21527	56.988	0.20387	3.3709	44.626	0.38105
3.4262	58.606	0.21511	56.974	0.20371	3.4262	44.626	0.38077
3.4814	58.622	0.21545	56.988	0.20405	3.4814	44.608	0.38122
3.5367	58.632	0.21607	56.997	0.20466	3.5367	44.625	0.38126
3.592	58.658	0.21628	57.02	0.20487	3.592	44.63	0.38052
3.6472	58.679	0.21765	57.038	0.20623	3.6472	44.591	0.37886
3.7025	58.702	0.21839	57.058	0.20696	3.7025	44.602	0.37798
3.7577	58.74	0.21925	57.093	0.20782	3.7577	44.597	0.37711
3.813	58.733	0.21975	57.085	0.20831	3.813	44.57	0.37696
3.8683	58.759	0.2208	57.109	0.20934	3.8683	44.555	0.37576
3.9235	58.786	0.22181	57.133	0.21035	3.9235	44.548	0.37477
3.9788	58.792	0.22232	57.138	0.21086	3.9788	44.522	0.37465
4.034	58.785	0.22312	57.13	0.21165	4.034	44.51	0.37382
4.0893	58.783	0.22332	57.127	0.21185	4.0893	44.506	0.3738
4.1446	58.77	0.22465	57.113	0.21316	4.1446	44.484	0.37292
4.1998	58.786	0.22488	57.128	0.21337	4.1998	44.49	0.3732
4.2551	58.797	0.22614	57.138	0.21463	4.2551	44.458	0.37201
4.3103	58.815	0.22645	57.154	0.21494	4.3103	44.425	0.37186
4.3656	58.85	0.22686	57.187	0.21535	4.3656	44.464	0.37119
4.4209	58.897	0.2281	57.231	0.21658	4.4209	44.484	0.37093
4.4761	58.901	0.22811	57.233	0.21659	4.4761	44.42	0.37116
4.5314	58.902	0.22834	57.233	0.21682	4.5314	44.393	0.37145
4.5866	58.901	0.22853	57.231	0.21701	4.5866	44.368	0.37129
4.6419	58.939	0.22888	57.267	0.21736	4.6419	44.386	0.37133
4.6972	58.917	0.22976	57.244	0.21823	4.6972	44.347	0.37074
4.7524	58.971	0.22963	57.296	0.21812	4.7524	44.357	0.37075
4.8077	58.983	0.23049	57.306	0.21897	4.8077	44.36	0.3698
4.863	58.99	0.23102	57.313	0.21948	4.863	44.376	0.36954
4.9182	58.976	0.23195	57.298	0.22041	4.9182	44.358	0.36874
4.9735	59.037	0.23229	57.356	0.22075	4.9735	44.41	0.36831
5.0287	59.017	0.23283	57.335	0.22129	5.0287	44.394	0.36754
