Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	57.317	0.20102	60.452	0.17264	0.055261	45.823	0.57453
0.11052	57.276	0.20142	60.403	0.17301	0.11052	45.831	0.5757
0.16578	57.253	0.1999	60.378	0.17155	0.16578	45.768	0.5774
0.22104	57.258	0.1996	60.378	0.17128	0.22104	45.811	0.57775
0.2763	57.327	0.19893	60.448	0.17067	0.2763	45.898	0.57709
0.33156	57.31	0.19933	60.425	0.17109	0.33156	45.907	0.57704
0.38683	57.299	0.19874	60.411	0.1705	0.38683	45.846	0.57849
0.44209	57.389	0.19851	60.503	0.17031	0.44209	45.866	0.57739
0.49735	57.416	0.19865	60.528	0.17045	0.49735	45.903	0.57716
0.55261	57.401	0.19909	60.507	0.17089	0.55261	45.877	0.57753
0.60787	57.4	0.19878	60.502	0.17066	0.60787	45.836	0.57686
0.66313	57.449	0.1982	60.55	0.17012	0.66313	45.832	0.57657
0.71839	57.452	0.19835	60.55	0.17027	0.71839	45.863	0.57723
0.77365	57.452	0.19856	60.549	0.17049	0.77365	45.837	0.57633
0.82891	57.46	0.1979	60.556	0.16986	0.82891	45.904	0.57751
0.88417	57.47	0.19813	60.562	0.17008	0.88417	45.888	0.57796
0.93943	57.51	0.19836	60.601	0.17036	0.93943	45.865	0.57681
0.99469	57.497	0.19806	60.587	0.17007	0.99469	45.864	0.57757
1.05	57.528	0.19783	60.616	0.16985	1.05	45.899	0.57767
1.1052	57.562	0.1982	60.649	0.17022	1.1052	45.937	0.57755
1.1605	57.579	0.19848	60.664	0.17054	1.1605	45.929	0.57721
1.2157	57.574	0.19793	60.657	0.17002	1.2157	45.934	0.57693
1.271	57.596	0.19755	60.68	0.16967	1.271	45.952	0.57679
1.3263	57.64	0.19777	60.723	0.16991	1.3263	45.95	0.57611
1.3815	57.605	0.19816	60.683	0.17027	1.3815	45.939	0.57561
1.4368	57.643	0.19808	60.722	0.17024	1.4368	45.975	0.5753
1.492	57.671	0.19822	60.75	0.17042	1.492	45.962	0.57509
1.5473	57.651	0.19904	60.728	0.17123	1.5473	45.958	0.57475
1.6026	57.664	0.19877	60.739	0.17101	1.6026	45.946	0.57432
1.6578	57.707	0.19896	60.781	0.17119	1.6578	45.925	0.57457
1.7131	57.739	0.19923	60.811	0.1715	1.7131	45.896	0.57425
1.7683	57.729	0.19871	60.799	0.17101	1.7683	45.926	0.57428
1.8236	57.746	0.19842	60.815	0.17074	1.8236	45.902	0.57466
1.8789	57.753	0.19832	60.822	0.17064	1.8789	45.945	0.57551
1.9341	57.763	0.1981	60.83	0.17042	1.9341	45.967	0.57626
1.9894	57.786	0.19858	60.85	0.17092	1.9894	45.916	0.57605
2.0447	57.79	0.19836	60.85	0.17071	2.0447	45.894	0.57552
2.0999	57.838	0.19834	60.896	0.1707	2.0999	45.896	0.57537
2.1552	57.85	0.19844	60.906	0.17081	2.1552	45.908	0.57539
2.2104	57.853	0.19847	60.906	0.17082	2.2104	45.909	0.57608
2.2657	57.891	0.19863	60.943	0.17099	2.2657	45.898	0.57489
2.321	57.877	0.19854	60.928	0.17092	2.321	45.897	0.57465
2.3762	57.912	0.19785	60.96	0.17026	2.3762	45.881	0.57483
2.4315	57.891	0.19841	60.934	0.17078	2.4315	45.871	0.57485
2.4867	57.932	0.19816	60.974	0.17057	2.4867	45.837	0.57366
2.542	57.933	0.19758	60.976	0.17001	2.542	45.854	0.57391
2.5973	57.94	0.19791	60.979	0.17034	2.5973	45.843	0.57392
2.6525	57.983	0.19794	61.022	0.1704	2.6525	45.85	0.57301
2.7078	57.98	0.19776	61.017	0.17024	2.7078	45.827	0.57329
