Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	55.65	0.38864	0.055261	29.374	0.64206
0.11052	55.733	0.38933	0.11052	29.43	0.64116
0.16578	55.806	0.38965	0.16578	29.454	0.63966
0.22104	55.768	0.39038	0.22104	29.474	0.64015
0.2763	55.844	0.3907	0.2763	29.539	0.63826
0.33156	55.749	0.39104	0.33156	29.536	0.63802
0.38683	55.717	0.389	0.38683	29.601	0.63766
0.44209	55.746	0.38841	0.44209	29.664	0.6368
0.49735	55.708	0.38848	0.49735	29.663	0.63608
0.55261	55.789	0.38849	0.55261	29.688	0.63543
0.60787	55.812	0.38977	0.60787	29.66	0.63457
0.66313	55.845	0.39023	0.66313	29.67	0.63418
0.71839	55.876	0.39034	0.71839	29.683	0.63402
0.77365	55.894	0.39018	0.77365	29.721	0.63233
0.82891	55.936	0.39012	0.82891	29.751	0.632
0.88417	55.942	0.38931	0.88417	29.802	0.63156
0.93943	55.938	0.38896	0.93943	29.816	0.63093
0.99469	55.963	0.38778	0.99469	29.872	0.63037
1.05	55.952	0.38942	1.05	29.865	0.62918
1.1052	55.994	0.3893	1.1052	29.896	0.629
1.1605	55.867	0.38869	1.1605	29.93	0.629
1.2157	55.854	0.38771	1.2157	30.013	0.62884
1.271	55.912	0.38944	1.271	30.067	0.62701
1.3263	55.824	0.38716	1.3263	30.15	0.62767
1.3815	55.876	0.38743	1.3815	30.188	0.62635
1.4368	55.921	0.38723	1.4368	30.236	0.62658
1.492	55.943	0.38883	1.492	30.211	0.62593
1.5473	56.001	0.38843	1.5473	30.234	0.62498
1.6026	56.036	0.38773	1.6026	30.25	0.62326
1.6578	56.094	0.38665	1.6578	30.284	0.62335
1.7131	56.129	0.38674	1.7131	30.285	0.62377
1.7683	56.128	0.38665	1.7683	30.293	0.62315
1.8236	56.152	0.38641	1.8236	30.37	0.62322
1.8789	56.211	0.3878	1.8789	30.35	0.62192
1.9341	56.253	0.38653	1.9341	30.401	0.62187
1.9894	56.222	0.38806	1.9894	30.384	0.61995
2.0447	56.271	0.38621	2.0447	30.48	0.61946
2.0999	56.287	0.3869	2.0999	30.481	0.61895
2.1552	56.429	0.38679	2.1552	30.542	0.61789
2.2104	56.43	0.38802	2.2104	30.509	0.61698
2.2657	56.564	0.38746	2.2657	30.522	0.61446
2.321	56.562	0.38741	2.321	30.577	0.61457
2.3762	56.578	0.38747	2.3762	30.61	0.61413
2.4315	56.638	0.38718	2.4315	30.706	0.6136
2.4867	56.565	0.38627	2.4867	30.732	0.61445
2.542	56.607	0.38605	2.542	30.765	0.61336
2.5973	56.632	0.38576	2.5973	30.791	0.61284
2.6525	56.648	0.38598	2.6525	30.819	0.61297
2.7078	56.736	0.38573	2.7078	30.84	0.6117
2.763	56.798	0.38515	2.763	30.877	0.61113
2.8183	56.756	0.38551	2.8183	30.848	0.61053
2.8736	56.921	0.38445	2.8736	30.881	0.6089
2.9288	56.835	0.38492	2.9288	30.871	0.60999
2.9841	56.921	0.38534	2.9841	30.862	0.60908
3.0393	56.997	0.38515	3.0393	30.892	0.60849
3.0946	56.926	0.38505	3.0946	30.946	0.60929
