Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	Fascicle Length R2_F2	Pennation Angle R2_F2	
0.055261	49.153	0.18429	48.936	0.15874	0.055261	39.485	0.63491	28.624	0.78016
0.11052	49.163	0.18428	48.946	0.15875	0.11052	39.493	0.63458	28.635	0.77981
0.16578	49.209	0.18334	48.99	0.15786	0.16578	39.559	0.63488	28.691	0.77982
0.22104	49.238	0.18293	49.017	0.15747	0.22104	39.561	0.63562	28.706	0.78046
0.2763	49.248	0.18324	49.026	0.15778	0.2763	39.557	0.63595	28.712	0.7808
0.33156	49.321	0.18252	49.097	0.15711	0.33156	39.6	0.63611	28.753	0.78067
0.38683	49.366	0.18204	49.139	0.15665	0.38683	39.629	0.63628	28.781	0.78057
0.44209	49.416	0.18192	49.186	0.15656	0.44209	39.619	0.63632	28.781	0.78058
0.49735	49.46	0.18103	49.229	0.1557	0.49735	39.655	0.63668	28.81	0.78086
0.55261	49.498	0.18093	49.265	0.15562	0.55261	39.665	0.6369	28.822	0.78106
0.60787	49.523	0.18064	49.288	0.15535	0.60787	39.683	0.63745	28.845	0.78153
0.66313	49.523	0.18059	49.287	0.15533	0.66313	39.688	0.63761	28.859	0.78153
0.71839	49.602	0.1797	49.364	0.15451	0.71839	39.744	0.63702	28.902	0.78067
0.77365	49.62	0.17955	49.38	0.15439	0.77365	39.725	0.63752	28.896	0.78107
0.82891	49.649	0.17908	49.409	0.15394	0.82891	39.75	0.63748	28.916	0.78094
0.88417	49.674	0.17898	49.433	0.15388	0.88417	39.742	0.63721	28.915	0.78056
0.93943	49.742	0.17812	49.5	0.15307	0.93943	39.805	0.63701	28.967	0.78
0.99469	49.707	0.17834	49.464	0.15327	0.99469	39.793	0.63734	28.964	0.78012
1.05	49.795	0.17769	49.55	0.15268	1.05	39.844	0.6367	29.007	0.77923
1.1052	49.81	0.1771	49.563	0.15209	1.1052	39.849	0.63716	29.017	0.77947
1.1605	49.834	0.17643	49.586	0.15143	1.1605	39.873	0.63818	29.045	0.78047
1.2157	49.875	0.17627	49.625	0.15129	1.2157	39.883	0.63829	29.06	0.78049
1.271	49.899	0.17589	49.646	0.15094	1.271	39.9	0.63821	29.08	0.78025
1.3263	49.944	0.17606	49.691	0.15115	1.3263	39.883	0.6376	29.069	0.77961
1.3815	49.996	0.17511	49.741	0.15024	1.3815	39.915	0.63763	29.097	0.77936
1.4368	50.042	0.17465	49.786	0.14981	1.4368	39.941	0.63778	29.12	0.77947
1.492	50.073	0.17442	49.815	0.14959	1.492	39.933	0.63812	29.123	0.77975
1.5473	50.13	0.17433	49.87	0.14956	1.5473	39.967	0.6369	29.15	0.77834
1.6026	50.177	0.174	49.916	0.14928	1.6026	39.983	0.63621	29.165	0.77752
1.6578	50.185	0.1738	49.922	0.14912	1.6578	39.995	0.63577	29.178	0.77691
1.7131	50.243	0.17348	49.979	0.14887	1.7131	40.05	0.63442	29.224	0.77513
1.7683	50.3	0.17286	50.034	0.1483	1.7683	40.107	0.63349	29.269	0.77391
1.8236	50.28	0.17246	50.013	0.14789	1.8236	40.12	0.63405	29.286	0.77421
1.8789	50.333	0.17236	50.063	0.14784	1.8789	40.152	0.63337	29.315	0.77327
1.9341	50.354	0.17219	50.082	0.14769	1.9341	40.127	0.63346	29.299	0.77326
1.9894	50.415	0.17173	50.143	0.1473	1.9894	40.167	0.63272	29.327	0.77246
2.0447	50.422	0.17054	50.15	0.14612	2.0447	40.192	0.63398	29.355	0.77346
2.0999	50.497	0.17005	50.222	0.14568	2.0999	40.255	0.63307	29.408	0.77224
2.1552	50.558	0.16978	50.281	0.14545	2.1552	40.307	0.63197	29.452	0.77095
2.2104	50.509	0.16965	50.233	0.14532	2.2104	40.281	0.63224	29.434	0.77116
2.2657	50.555	0.16917	50.276	0.14488	2.2657	40.298	0.63254	29.456	0.77122
2.321	50.609	0.16884	50.33	0.14459	2.321	40.294	0.632	29.452	0.77069
2.3762	50.659	0.16767	50.378	0.14345	2.3762	40.345	0.63234	29.494	0.7707
2.4315	50.671	0.16695	50.389	0.14272	2.4315	40.363	0.63302	29.514	0.7713
2.4867	50.689	0.16671	50.406	0.14249	2.4867	40.365	0.63342	29.522	0.77155
2.542	50.77	0.16623	50.484	0.14208	2.542	40.418	0.63244	29.568	0.77035
2.5973	50.785	0.1652	50.499	0.14108	2.5973	40.474	0.63243	29.615	0.76989
2.6525	50.783	0.16537	50.495	0.14125	2.6525	40.458	0.63279	29.612	0.77031
2.7078	50.861	0.16491	50.572	0.14085	2.7078	40.513	0.6322	29.66	0.76949
2.763	50.912	0.16419	50.621	0.14013	2.763	40.567	0.6325	29.712	0.76945
2.8183	50.94	0.16515	50.647	0.14114	2.8183	40.563	0.6309	29.71	0.7679
2.8736	51.074	0.16539	50.779	0.1415	2.8736	40.604	0.62808	29.741	0.76487
2.9288	51.074	0.16508	50.777	0.14123	2.9288	40.638	0.6271	29.772	0.76351
2.9841	51.093	0.16441	50.796	0.14059	2.9841	40.661	0.62753	29.791	0.76371
3.0393	51.161	0.16397	50.862	0.1402	3.0393	40.692	0.6274	29.821	0.76346
3.0946	51.166	0.16299	50.866	0.13921	3.0946	40.687	0.62923	29.824	0.76543
3.1499	51.206	0.16246	50.905	0.1387	3.1499	40.658	0.63006	29.803	0.76636
3.2051	51.236	0.16178	50.935	0.13803	3.2051	40.708	0.63086	29.844	0.767
3.2604	51.23	0.16163	50.928	0.13787	3.2604	40.67	0.63189	29.819	0.76824
3.3156	51.278	0.16099	50.975	0.13727	3.3156	40.754	0.63086	29.884	0.76692
3.3709	51.289	0.16107	50.984	0.13735	3.3709	40.707	0.63208	29.86	0.76848
3.4262	51.375	0.16046	51.07	0.1368	3.4262	40.759	0.63126	29.902	0.76748
3.4814	51.382	0.15966	51.077	0.13599	3.4814	40.77	0.63303	29.921	0.76923
3.5367	51.419	0.15905	51.113	0.1354	3.5367	40.797	0.63328	29.949	0.76946
3.592	51.424	0.15938	51.116	0.13573	3.592	40.751	0.63376	29.915	0.77027
3.6472	51.498	0.15898	51.189	0.13537	3.6472	40.801	0.63321	29.959	0.76966
3.7025	51.541	0.15831	51.23	0.13473	3.7025	40.828	0.63306	29.984	0.76933
3.7577	51.529	0.15845	51.216	0.13488	3.7577	40.851	0.63263	30.009	0.76868
3.813	51.578	0.15824	51.264	0.13471	3.813	40.918	0.63189	30.069	0.76754
3.8683	51.63	0.15778	51.314	0.1343	3.8683	40.963	0.63108	30.105	0.76656
3.9235	51.633	0.15718	51.316	0.1337	3.9235	40.964	0.63166	30.113	0.76697
3.9788	51.714	0.15691	51.396	0.13348	3.9788	41.008	0.63065	30.151	0.76591
