Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Time	Fascicle Length R2_F1	Pennation Angle R2_F1	
0.055261	58.73	0.20164	59.374	0.20125	0.055261	33.45	0.60294
0.11052	58.762	0.20205	59.406	0.20165	0.11052	33.488	0.60128
0.16578	58.74	0.20284	59.384	0.20244	0.16578	33.495	0.5989
0.22104	58.759	0.20279	59.404	0.20239	0.22104	33.498	0.59883
0.2763	58.81	0.20287	59.455	0.20247	0.2763	33.518	0.59708
0.33156	58.854	0.20334	59.5	0.20294	0.33156	33.512	0.59795
0.38683	58.92	0.20292	59.567	0.20253	0.38683	33.511	0.59773
0.44209	58.961	0.2018	59.607	0.20141	0.44209	33.551	0.59789
0.49735	59.002	0.2026	59.649	0.2022	0.49735	33.538	0.5966
0.55261	59.057	0.20265	59.704	0.20225	0.55261	33.558	0.59547
0.60787	59.164	0.20302	59.812	0.20263	0.60787	33.56	0.59302
0.66313	59.168	0.20254	59.817	0.20215	0.66313	33.606	0.5908
0.71839	59.231	0.20219	59.88	0.20179	0.71839	33.656	0.58991
0.77365	59.259	0.20271	59.908	0.20232	0.77365	33.662	0.58878
0.82891	59.311	0.20271	59.961	0.20232	0.82891	33.661	0.58848
0.88417	59.395	0.20294	60.046	0.20254	0.88417	33.702	0.58691
0.93943	59.408	0.20249	60.059	0.2021	0.93943	33.708	0.58753
0.99469	59.49	0.20263	60.142	0.20224	0.99469	33.697	0.58603
1.05	59.525	0.20324	60.177	0.20285	1.05	33.72	0.58467
1.1052	59.575	0.20229	60.227	0.2019	1.1052	33.741	0.58505
1.1605	59.628	0.20207	60.281	0.20168	1.1605	33.782	0.58423
1.2157	59.703	0.20214	60.357	0.20175	1.2157	33.805	0.58328
1.271	59.775	0.20177	60.43	0.20138	1.271	33.856	0.582
1.3263	59.798	0.20217	60.454	0.20179	1.3263	33.863	0.58047
1.3815	59.877	0.20172	60.533	0.20133	1.3815	33.919	0.57947
1.4368	59.939	0.20171	60.595	0.20132	1.4368	33.938	0.57819
1.492	59.966	0.20128	60.623	0.20089	1.492	33.978	0.57804
1.5473	60.019	0.20056	60.676	0.20017	1.5473	34.007	0.57739
1.6026	60.101	0.20108	60.76	0.2007	1.6026	34.021	0.57569
1.6578	60.136	0.20021	60.795	0.19983	1.6578	34.055	0.57595
1.7131	60.207	0.20118	60.866	0.20079	1.7131	34.065	0.57453
1.7683	60.24	0.20002	60.9	0.19963	1.7683	34.119	0.57561
1.8236	60.288	0.2008	60.948	0.20042	1.8236	34.144	0.57364
1.8789	60.299	0.20032	60.96	0.19994	1.8789	34.136	0.57417
1.9341	60.324	0.20047	60.985	0.20009	1.9341	34.168	0.57378
1.9894	60.348	0.20053	61.009	0.20015	1.9894	34.205	0.57382
2.0447	60.382	0.20043	61.043	0.20005	2.0447	34.234	0.57308
2.0999	60.458	0.20017	61.12	0.19979	2.0999	34.273	0.57217
2.1552	60.45	0.20043	61.112	0.20004	2.1552	34.286	0.57175
2.2104	60.492	0.19966	61.154	0.19928	2.2104	34.322	0.57138
2.2657	60.564	0.19958	61.228	0.1992	2.2657	34.386	0.5698
2.321	60.573	0.19967	61.236	0.19929	2.321	34.402	0.5695
2.3762	60.66	0.19874	61.324	0.19836	2.3762	34.461	0.56906
2.4315	60.706	0.19816	61.371	0.19778	2.4315	34.518	0.56943
2.4867	60.683	0.19842	61.348	0.19804	2.4867	34.525	0.56926
2.542	60.757	0.19737	61.423	0.197	2.542	34.593	0.56977
2.5973	60.806	0.19726	61.471	0.19689	2.5973	34.607	0.56947
2.6525	60.839	0.19722	61.506	0.19684	2.6525	34.632	0.56871
2.7078	60.864	0.19755	61.53	0.19717	2.7078	34.631	0.56766
2.763	60.912	0.19721	61.579	0.19684	2.763	34.657	0.56715
2.8183	60.965	0.19718	61.632	0.1968	2.8183	34.686	0.56665
2.8736	60.967	0.19713	61.635	0.19676	2.8736	34.686	0.5664
2.9288	61.035	0.19698	61.704	0.19661	2.9288	34.716	0.56587
2.9841	61.066	0.19671	61.735	0.19634	2.9841	34.751	0.56489
3.0393	61.107	0.1965	61.776	0.19613	3.0393	34.767	0.56428
3.0946	61.181	0.19609	61.851	0.19572	3.0946	34.8	0.56409
3.1499	61.214	0.19549	61.885	0.19512	3.1499	34.839	0.56437
3.2051	61.231	0.19615	61.902	0.19578	3.2051	34.85	0.56359
3.2604	61.273	0.19533	61.944	0.19495	3.2604	34.874	0.56451
3.3156	61.298	0.1947	61.969	0.19433	3.3156	34.885	0.56567
3.3709	61.361	0.194	62.033	0.19363	3.3709	34.899	0.56626
3.4262	61.39	0.19439	62.062	0.19402	3.4262	34.907	0.56547
3.4814	61.396	0.19403	62.068	0.19366	3.4814	34.908	0.56606
3.5367	61.452	0.19387	62.125	0.1935	3.5367	34.937	0.56658
3.592	61.477	0.19359	62.15	0.19322	3.592	34.988	0.56567
3.6472	61.515	0.19376	62.188	0.19339	3.6472	34.978	0.56568
3.7025	61.53	0.19318	62.204	0.19281	3.7025	35.015	0.56647
3.7577	61.569	0.19325	62.243	0.19288	3.7577	35.017	0.56574
3.813	61.545	0.19361	62.219	0.19324	3.813	35	0.56508
3.8683	61.607	0.19284	62.281	0.19247	3.8683	35.052	0.56488
3.9235	61.589	0.19247	62.263	0.1921	3.9235	35.066	0.56499
3.9788	61.569	0.19394	62.242	0.19357	3.9788	35.04	0.56278
4.034	61.595	0.19354	62.269	0.19318	4.034	35.106	0.56226
4.0893	61.59	0.19415	62.264	0.19378	4.0893	35.106	0.56121
4.1446	61.63	0.19491	62.304	0.19455	4.1446	35.125	0.55926
4.1998	61.632	0.19374	62.306	0.19337	4.1998	35.173	0.55998
4.2551	61.654	0.19471	62.329	0.19435	4.2551	35.18	0.55864
4.3103	61.635	0.19522	62.31	0.19486	4.3103	35.18	0.55836
4.3656	61.71	0.19492	62.385	0.19455	4.3656	35.231	0.55791
4.4209	61.752	0.19574	62.427	0.19537	4.4209	35.218	0.55611
4.4761	61.793	0.19565	62.469	0.19528	4.4761	35.231	0.55598
4.5314	61.819	0.19599	62.495	0.19563	4.5314	35.232	0.55519
4.5866	61.812	0.19726	62.488	0.19689	4.5866	35.168	0.55316
4.6419	61.874	0.19622	62.551	0.19586	4.6419	35.184	0.55333
4.6972	61.903	0.19688	62.58	0.19652	4.6972	35.179	0.55189
4.7524	61.925	0.19732	62.603	0.19695	4.7524	35.182	0.55114
4.8077	61.976	0.19653	62.654	0.19616	4.8077	35.205	0.55134
4.863	62.032	0.19667	62.71	0.19631	4.863	35.191	0.54983
4.9182	62.049	0.19698	62.727	0.19662	4.9182	35.167	0.54871
4.9735	62.088	0.19637	62.767	0.19601	4.9735	35.204	0.54876
5.0287	62.14	0.19714	62.819	0.19677	5.0287	35.186	0.54655
